condition_id,label,P,T_ms,W_ms,RT_real,ACC_real,RT_gen,ACC_gen,condition_text
C1,self,0.0,30.0,300.0,0.2605494346861066,0.12596153846153846,0.4843645390070915,0.885579196217494,"C1 | P=0, T=30, W=300"
C1,stranger,0.0,30.0,300.0,0.2581553286295212,0.12307692307692308,0.6383484633569699,0.6522458628841608,"C1 | P=0, T=30, W=300"
C2,self,0.0,30.0,600.0,0.41308962604786864,0.28205128205128205,0.6691815602836846,0.8542553191489362,"C2 | P=0, T=30, W=600"
C2,stranger,0.0,30.0,600.0,0.40603987320574,0.22606837606837607,0.7927209219858088,0.6109929078014185,"C2 | P=0, T=30, W=600"
C3,self,8.0,100.0,1100.0,0.6976784213123866,0.8032967032967033,0.7433853174603136,0.9125,"C3 | P=8, T=100, W=1100"
C3,stranger,8.0,100.0,1100.0,0.7319297385686235,0.7054945054945055,0.9960965608465508,0.6160714285714286,"C3 | P=8, T=100, W=1100"
C4,self,120.0,30.0,600.0,0.36622855986763964,0.34307692307692306,0.740293486590033,0.7777777777777778,"C4 | P=120, T=30, W=600"
C4,stranger,120.0,30.0,600.0,0.36058173790562403,0.3096153846153846,0.8056011494252805,0.5524904214559387,"C4 | P=120, T=30, W=600"
C5,self,120.0,80.0,600.0,0.5063177794015057,0.5115384615384615,0.5859234042553174,0.9479314420803783,"C5 | P=120, T=80, W=600"
C5,stranger,120.0,80.0,600.0,0.5051614061636159,0.40714285714285714,0.8461095744680776,0.6565602836879433,"C5 | P=120, T=80, W=600"
C6,self,120.0,500.0,1500.0,0.9047969182932882,0.8953846153846153,0.5622513114754094,0.9925136612021858,"C6 | P=120, T=500, W=1500"
C6,stranger,120.0,500.0,1500.0,1.0059649643373227,0.8869230769230769,0.9868920765027231,0.7030601092896175,"C6 | P=120, T=500, W=1500"
