groupID,subjectID,gender,age,handedness,stage,trialID,P,T,W,Shape,Label,CorrectKey,Response,RT,Correct
3,7,1,22,1,practice,1,120,0.03,0.6,square,self,f,,NaN,0
3,7,1,22,1,practice,2,120,0.03,0.6,square,stranger,j,,NaN,0
3,7,1,22,1,practice,3,120,0.03,0.6,circle,self,j,f,0.238652500003809,0
3,7,1,22,1,practice,4,120,0.03,0.6,circle,stranger,f,,NaN,0
3,7,1,22,1,practice,5,120,0.03,0.6,square,self,f,j,0.549897500008228,0
3,7,1,22,1,practice,6,120,0.03,0.6,square,stranger,j,f,0.619722300005378,0
3,7,1,22,1,practice,7,120,0.03,0.6,circle,self,j,,NaN,0
3,7,1,22,1,practice,8,120,0.03,0.6,circle,stranger,f,f,0.603273500004434,1
3,7,1,22,1,practice,9,120,0.03,0.6,square,stranger,j,,NaN,0
3,7,1,22,1,practice,10,120,0.03,0.6,square,self,f,,NaN,0
3,7,1,22,1,practice,11,120,0.03,0.6,circle,self,j,,NaN,0
3,7,1,22,1,practice,12,120,0.03,0.6,circle,stranger,f,f,0.278060700002243,1
3,7,1,22,1,practice,13,120,0.03,0.6,circle,stranger,f,,NaN,0
3,7,1,22,1,practice,14,120,0.03,0.6,square,stranger,j,j,0.391625899996143,1
3,7,1,22,1,practice,15,120,0.03,0.6,square,self,f,,NaN,0
3,7,1,22,1,practice,16,120,0.03,0.6,circle,self,j,,NaN,0
3,7,1,22,1,practice,17,120,0.03,0.6,circle,self,j,f,0.282828499999596,0
3,7,1,22,1,practice,18,120,0.03,0.6,square,self,f,,NaN,0
3,7,1,22,1,practice,19,120,0.03,0.6,square,stranger,j,f,0.516187500004889,0
3,7,1,22,1,practice,20,120,0.03,0.6,circle,stranger,f,j,0.498451100007514,0
3,7,1,22,1,practice,21,120,0.03,0.6,circle,self,j,,NaN,0
3,7,1,22,1,practice,22,120,0.03,0.6,square,stranger,j,f,0.622462100000121,0
3,7,1,22,1,practice,23,120,0.03,0.6,square,self,f,f,0.533279999988736,1
3,7,1,22,1,practice,24,120,0.03,0.6,circle,stranger,f,,NaN,0
3,7,1,22,1,practice,25,120,0.03,0.6,square,self,f,f,0.448155699996278,1
3,7,1,22,1,practice,26,120,0.03,0.6,circle,stranger,f,,NaN,0
3,7,1,22,1,practice,27,120,0.03,0.6,square,stranger,j,,NaN,0
3,7,1,22,1,practice,28,120,0.03,0.6,circle,self,j,,NaN,0
3,7,1,22,1,practice,29,120,0.03,0.6,circle,stranger,f,f,0.332687600006466,1
3,7,1,22,1,practice,30,120,0.03,0.6,circle,self,j,,NaN,0
3,7,1,22,1,practice,31,120,0.03,0.6,square,self,f,,NaN,0
3,7,1,22,1,practice,32,120,0.03,0.6,square,stranger,j,,NaN,0
3,7,1,22,1,practice,33,120,0.03,0.6,circle,stranger,f,j,0.570851800002856,0
3,7,1,22,1,practice,34,120,0.03,0.6,square,self,f,f,0.34081390000938,1
3,7,1,22,1,practice,35,120,0.03,0.6,square,stranger,j,f,0.484461999993073,0
3,7,1,22,1,practice,36,120,0.03,0.6,circle,self,j,j,0.485003499998129,1
3,7,1,22,1,practice,37,120,0.03,0.6,circle,self,j,j,0.454483800000162,1
3,7,1,22,1,practice,38,120,0.03,0.6,circle,stranger,f,j,0.481198900000891,0
3,7,1,22,1,practice,39,120,0.03,0.6,square,stranger,j,f,0.613014000002295,0
3,7,1,22,1,practice,40,120,0.03,0.6,square,self,f,,NaN,0
3,7,1,22,1,practice,41,120,0.03,0.6,square,stranger,j,f,0.466484099990339,0
3,7,1,22,1,practice,42,120,0.03,0.6,circle,stranger,f,j,0.43731690000277,0
3,7,1,22,1,practice,43,120,0.03,0.6,square,self,f,,NaN,0
3,7,1,22,1,practice,44,120,0.03,0.6,circle,self,j,,NaN,0
3,7,1,22,1,practice,45,120,0.03,0.6,circle,stranger,f,f,0.541687500008265,1
3,7,1,22,1,practice,46,120,0.03,0.6,square,self,f,j,0.405502599998727,0
3,7,1,22,1,practice,47,120,0.03,0.6,square,stranger,j,f,0.40639820000797,0
3,7,1,22,1,practice,48,120,0.03,0.6,circle,self,j,,NaN,0
3,7,1,22,1,practice,49,120,0.03,0.6,square,self,f,j,0.387629000004381,0
3,7,1,22,1,practice,50,120,0.03,0.6,circle,stranger,f,f,0.406051800004207,1
3,7,1,22,1,practice,51,120,0.03,0.6,circle,self,j,f,0.58207869999751,0
3,7,1,22,1,practice,52,120,0.03,0.6,square,stranger,j,f,0.534887600006186,0
3,7,1,22,1,practice,53,120,0.03,0.6,square,stranger,j,,NaN,0
3,7,1,22,1,practice,54,120,0.03,0.6,square,self,f,j,0.543963599993731,0
3,7,1,22,1,practice,55,120,0.03,0.6,circle,self,j,f,0.498821599991061,0
3,7,1,22,1,practice,56,120,0.03,0.6,circle,stranger,f,f,0.517906199995195,1
3,7,1,22,1,practice,57,120,0.03,0.6,square,self,f,j,0.597573499995633,0
3,7,1,22,1,practice,58,120,0.03,0.6,square,stranger,j,j,0.338437999991584,1
3,7,1,22,1,practice,59,120,0.03,0.6,circle,stranger,f,,NaN,0
3,7,1,22,1,practice,60,120,0.03,0.6,circle,self,j,,NaN,0
3,7,1,22,1,practice,61,120,0.03,0.6,square,self,f,f,0.559420500008855,1
3,7,1,22,1,practice,62,120,0.03,0.6,square,stranger,j,j,0.382295200004592,1
