groupID,subjectID,gender,age,handedness,stage,trialID,P,T,W,Shape,Label,CorrectKey,Response,RT,Correct
4,8,1,23,2,practice,1,120,0.08,0.6,square,stranger,j,,NaN,0
4,8,1,23,2,practice,2,120,0.08,0.6,square,self,f,f,0.510688299997128,1
4,8,1,23,2,practice,3,120,0.08,0.6,circle,stranger,f,j,0.524351800006116,0
4,8,1,23,2,practice,4,120,0.08,0.6,circle,self,j,f,0.541354299988598,0
4,8,1,23,2,practice,5,120,0.08,0.6,square,stranger,j,j,0.571726299996953,1
4,8,1,23,2,practice,6,120,0.08,0.6,square,self,f,f,0.49294359999476,1
4,8,1,23,2,practice,7,120,0.08,0.6,circle,stranger,f,j,0.60964709999098,0
4,8,1,23,2,practice,8,120,0.08,0.6,circle,self,j,f,0.54529390000971,0
4,8,1,23,2,practice,9,120,0.08,0.6,square,self,f,f,0.593638600010308,1
4,8,1,23,2,practice,10,120,0.08,0.6,square,stranger,j,j,0.561483199999202,1
4,8,1,23,2,practice,11,120,0.08,0.6,circle,stranger,f,,NaN,0
4,8,1,23,2,practice,12,120,0.08,0.6,circle,self,j,f,0.458631999994395,0
4,8,1,23,2,practice,13,120,0.08,0.6,circle,self,j,j,0.387005900003714,1
4,8,1,23,2,practice,14,120,0.08,0.6,square,self,f,f,0.644457000002149,1
4,8,1,23,2,practice,15,120,0.08,0.6,square,stranger,j,f,0.402454499999294,0
4,8,1,23,2,practice,16,120,0.08,0.6,circle,stranger,f,j,0.419037400002708,0
4,8,1,23,2,practice,17,120,0.08,0.6,circle,stranger,f,f,0.370701399995596,1
4,8,1,23,2,practice,18,120,0.08,0.6,square,stranger,j,j,0.481989399995655,1
4,8,1,23,2,practice,19,120,0.08,0.6,square,self,f,f,0.435594299997319,1
4,8,1,23,2,practice,20,120,0.08,0.6,circle,self,j,f,0.449709599997732,0
4,8,1,23,2,practice,21,120,0.08,0.6,circle,stranger,f,j,0.464527099989937,0
4,8,1,23,2,practice,22,120,0.08,0.6,square,self,f,f,0.480836699993233,1
4,8,1,23,2,practice,23,120,0.08,0.6,square,stranger,j,j,0.595743500001845,1
4,8,1,23,2,practice,24,120,0.08,0.6,circle,self,j,f,0.514349900011439,0
4,8,1,23,2,practice,25,120,0.08,0.6,square,stranger,j,j,0.642562499997439,1
4,8,1,23,2,practice,26,120,0.08,0.6,circle,self,j,,NaN,0
4,8,1,23,2,practice,27,120,0.08,0.6,square,self,f,j,0.663867800001753,0
4,8,1,23,2,practice,28,120,0.08,0.6,circle,stranger,f,f,0.284278999999515,1
4,8,1,23,2,practice,29,120,0.08,0.6,circle,self,j,f,0.425907899989397,0
4,8,1,23,2,practice,30,120,0.08,0.6,circle,stranger,f,j,0.2832461999933,0
4,8,1,23,2,practice,31,120,0.08,0.6,square,stranger,j,f,0.347025600000052,0
4,8,1,23,2,practice,32,120,0.08,0.6,square,self,f,j,0.597398899990367,0
4,8,1,23,2,practice,33,120,0.08,0.6,circle,self,j,f,0.580445200001122,0
4,8,1,23,2,practice,34,120,0.08,0.6,square,stranger,j,j,0.67543289999594,1
4,8,1,23,2,practice,35,120,0.08,0.6,square,self,f,j,0.547945800004527,0
4,8,1,23,2,practice,36,120,0.08,0.6,circle,stranger,f,j,0.435734800004866,0
4,8,1,23,2,practice,37,120,0.08,0.6,circle,stranger,f,,NaN,0
4,8,1,23,2,practice,38,120,0.08,0.6,circle,self,j,f,0.29938559999573,0
4,8,1,23,2,practice,39,120,0.08,0.6,square,self,f,f,0.548673699988285,1
