Group,Label,Quality,N_trials,Omission%,Overall_Acc%,Match_Acc%,Mismatch_Acc%,Mismatch→Match_Bias%,RT_Match_ms,RT_Mismatch_ms,RT_Self_ms,RT_Stranger_ms,Self_MatchAcc%,Stranger_MatchAcc%
1,G1 | P0_T30_W300,Low,1625,71.6,50.0,66.8,34.2,65.8,259,260,260,259,66.8,66.7
2,G2 | P0_T30_W600,Low,2868,54.0,56.1,64.7,46.7,53.3,424,418,426,417,75.2,51.9
3,G3 | P120_T30_W600,Medium,3222,38.0,50.3,55.4,45.1,54.9,385,381,386,379,61.9,48.5
4,G4 | P120_T80_W600,Good,3478,39.2,70.1,74.5,65.2,34.8,506,519,513,511,84.5,62.4
5,G5 | P8_T100_W1100,Good,5089,11.0,77.4,79.6,75.1,24.9,685,725,689,722,88.5,70.4
6,G6 | P120_T500_W1500,Good,4927,5.2,94.0,93.4,94.5,5.5,899,937,883,952,96.6,90.4
7,G7 | P120_T80_W800,Good,5291,15.2,76.0,80.2,71.6,28.4,582,607,588,601,86.3,73.6
8,G8 | P120_T80_W800,Good,4834,15.5,78.4,81.8,74.8,25.2,597,625,604,618,87.3,75.8
