,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.392196363385255,0.3076936262849393,1.0205319961317034,1.124331628295697,1.3372542645216294,1.5813090455336838,2.1341125661320826,0.02228763137062106
a_std,0.7032140691691563,0.4526640959522715,0.11575009614561024,0.22526738526731738,0.696895320283417,0.9902971530110847,1.6837036395815566,0.03879690841055058
a_subj.0,1.2635358249698985,0.046124689141971965,1.1660393824536104,1.2350731496850684,1.2644477183299099,1.2941555021855038,1.3520106909683256,0.001793500926543614
a_subj.1,1.0330468909559356,0.03664227199508758,0.9644882479121146,1.007931039062464,1.031636339915731,1.0578669378663517,1.1065822618784897,0.0012886500929903662
a_subj.2,1.1371036206203908,0.05223765598457006,1.0503792654946218,1.1001645792298484,1.1306111285034417,1.1673126091720931,1.2598636078109893,0.0030280138189890766
a_subj.3,1.0563373842432409,0.033350568133333036,0.991816783297935,1.034109790214984,1.0553585174601041,1.0781434981503921,1.1243810634770197,0.0009653641289643396
a_subj.4,1.1273293931905999,0.049050076283025656,1.0345812693540866,1.0948970306912433,1.125153969547126,1.1579744243901697,1.2349099928166485,0.0021021672052194663
a_subj.5,1.0767253933373782,0.036506636352723665,1.00930047548506,1.0518667581451424,1.0747695998021907,1.1003943718476505,1.1520207922189656,0.0010035390445459103
a_subj.6,3.7088222632402794,1.818212593918404,1.1694034615651183,1.3076154849311852,4.170684611664904,4.983745267788878,7.497743585817482,0.18079151903308968
a_subj.7,0.9444069052089573,0.030569682895608845,0.8830995709234843,0.9245749760946801,0.9437135926997624,0.9647355117358312,1.0057921886514736,0.0011131524925926779
a_subj.8,0.801511375480276,0.025656369232464362,0.755943679037988,0.783935002268127,0.800333054938287,0.8177797605403571,0.8550636117562269,0.0008634293865110313
a_subj.9,1.2570348497011785,0.0447797447514765,1.170169852188787,1.2268240200839045,1.2562159917572702,1.2876586796923783,1.3472375349541799,0.0015696237166390125
a_subj.10,1.0559936989268919,0.05139522269059584,0.9582626959677414,1.0185006425422176,1.0591149643642392,1.0909365569416543,1.1528710608165629,0.0028384605490848003
v(0),1.0560165502170622,0.5408183961127568,0.008378864354086968,0.6963421802607671,1.0371849109575386,1.39635706266682,2.1585654215582974,0.01931048602010945
v(1),1.442576410303915,0.5410786456917775,0.44982938275156203,1.0736161524710295,1.420068096990772,1.782611515035967,2.572672395033708,0.01593133835036915
v_std,1.7194213140280032,0.4155313701068245,0.9905265174008653,1.4136785176467876,1.7306592687461269,1.9823815612981237,2.553870948084836,0.03121699720194802
v_subj(0).0,0.6750135054725142,0.16929074552332124,0.3448359177186003,0.5569638463907377,0.6728061854073217,0.7914802478027525,1.001287202284884,0.004508527965085828
v_subj(0).1,1.5289641346224023,0.22060764755136625,1.0937855917434012,1.3823744915257303,1.5275280761334897,1.6828761955013825,1.9450869838330376,0.006174383500197995
v_subj(0).2,-0.0832296510210888,0.1785888973861758,-0.41880004879743393,-0.2094282876172578,-0.08149439674047687,0.04032281051665798,0.25990271911458523,0.00603983310721579
v_subj(0).3,1.220808641022131,0.20785465883507592,0.8086019393518596,1.0840164140233846,1.222926837548147,1.3605992887722496,1.627626476326531,0.005629691847205642
v_subj(0).4,2.6489870465047765,0.2595755884686182,2.127654469728802,2.473965658616994,2.655519231189322,2.822615064055815,3.1667448826994153,0.008543661933235212
v_subj(0).5,0.150414827993007,0.20551074437400296,-0.2708288419293215,0.011653895126023661,0.1519819999975056,0.29181795060993665,0.5432487483778206,0.006062876810378898
v_subj(0).6,4.337995033195108,1.5828628533697666,1.627044556137104,2.182735122231337,5.003505101281698,5.461437529838334,6.372327171251995,0.1565627838765468
v_subj(0).7,-0.22217102534798677,0.2078752804315975,-0.6294299234293701,-0.36183404042808115,-0.22558559279591883,-0.0759768297165942,0.17611023968963724,0.005088658036115859
v_subj(0).8,1.093297668220256,0.25488457738403625,0.5998868911547525,0.9164928140397999,1.0889668992592194,1.262375716156714,1.6185380960696278,0.007001510970774061
v_subj(0).9,-1.6158228502896679,0.20755096992290278,-2.0064925793022086,-1.756290765340861,-1.61698273736621,-1.4719308305269243,-1.2088860498818623,0.007895865468440452
v_subj(0).10,1.7727929974587977,0.22380278212178753,1.3520201764854605,1.6197593875703535,1.7737465192893787,1.930229008503209,2.2113297900594766,0.006873114626343643
v_subj(1).0,1.435954471227006,0.20136333968584516,1.0478264495862364,1.2984898066414827,1.4387084501884824,1.569311071233085,1.8352481849615971,0.005516808979829828
v_subj(1).1,1.4222138409413074,0.2212907449769497,0.9935107849695615,1.270763946777278,1.424257439932051,1.5724509894998377,1.8444849417048825,0.006075637125203925
v_subj(1).2,1.5785436653745502,0.24327435627040697,1.0961384697786118,1.4197078709115742,1.5717906662034666,1.742849883861067,2.0727816156590757,0.007523425576922265
v_subj(1).3,0.8559779315741304,0.199851982307248,0.46319704802846484,0.7173857615084847,0.8587022825732322,0.989707121984144,1.2405983914365382,0.005622192132310642
v_subj(1).4,3.355330596818641,0.2734787393342778,2.8353831183313605,3.164674844325516,3.3541732634094332,3.537817606520954,3.9131864060544066,0.01015821072097796
v_subj(1).5,0.2747277357648267,0.2046348687202625,-0.1494405034589263,0.1432840625703845,0.27582112417423077,0.41329566433062637,0.6680339060801588,0.006385342976446555
v_subj(1).6,5.205415058196424,1.5693988266385888,2.4684863200088856,3.143958566559127,5.878763421102132,6.3011013885734215,7.200521781775844,0.1548082340807682
v_subj(1).7,-0.40604011745556,0.19210609885359878,-0.7769948939788507,-0.5406484429772227,-0.40187224066941285,-0.27692640019730674,-0.030446567685624704,0.004655886836333499
v_subj(1).8,0.5964639043262072,0.25315290161876863,0.09970450581978774,0.4237550034565345,0.6003673705012553,0.7636892385595039,1.0908492399174232,0.00626972639215459
v_subj(1).9,-0.3061185259629217,0.21596104602482258,-0.7062772246046861,-0.4552188009271766,-0.3103060073117997,-0.15275378863131583,0.12308695075792042,0.007949448243079662
v_subj(1).10,1.7177218996616574,0.2222027235909593,1.2870059580371673,1.5704976953667453,1.7178644111954107,1.8617150705240455,2.156036867728666,0.006832312986324356
t,0.41098801350321,0.04183738295551724,0.33213637289150455,0.38305347780315613,0.4096510565814907,0.43681847351431446,0.5015943846190927,0.0013543297903083724
t_std,0.13471498465035503,0.046116262363158016,0.07581979061383494,0.10405620712319684,0.12550686797841226,0.15577276858367234,0.2500656069561429,0.0024871567110991023
t_subj.0,0.3269675341787809,0.011742472008731901,0.31310688528532027,0.32102880530981504,0.3249295464162533,0.3287602191380827,0.3699637940231143,0.0006473395867148481
t_subj.1,0.45653710284650745,0.0065370348025751675,0.4401192299787075,0.4533449950915436,0.4568544362526892,0.4606446557723961,0.46757608470583306,0.00025934965588796875
t_subj.2,0.43387124018756024,0.01705530143973579,0.39191602340944703,0.4340454571162832,0.44034259562975225,0.44393652189642724,0.45067969220921833,0.0013152878855987337
t_subj.3,0.46589816126286243,0.004304946167037322,0.4568645879170467,0.4632582713466218,0.4660957184975165,0.468604590588796,0.47363629962028486,0.00012185348404653079
t_subj.4,0.4029526406338985,0.005525210072138377,0.39197623789038155,0.40025593392736347,0.40344924763153545,0.4062030860310694,0.4122128438335991,0.00023211076624852153
t_subj.5,0.48264544345543653,0.009687237012697112,0.4632188688002998,0.474213330083998,0.48537521943218487,0.49043077062789847,0.49626262277047684,0.00040440838630442295
t_subj.6,0.24248566128606314,0.08874705983335157,0.09173912462572932,0.18037195222835423,0.2181408094670197,0.35860523345967343,0.3839313648366425,0.008770906632250334
t_subj.7,0.2252913281282632,0.005371993367871696,0.21397322887273285,0.2220575983364355,0.2255478485575551,0.22891060716204467,0.2352148764604222,0.00018189623713793106
t_subj.8,0.5205512791868048,0.0031804781577640584,0.5128367801208017,0.5190839115529822,0.5209479045656048,0.5225882225386443,0.5251393628687768,0.00011054237605434948
t_subj.9,0.5086608483608769,0.004653578980560197,0.5006276336402914,0.5058342670627962,0.5084523138961189,0.5108915083247016,0.5211473736304895,0.0001314759884137485
t_subj.10,0.38660185296227845,0.014614198595106345,0.3655054999677611,0.3753696662632901,0.37945007267853265,0.4019975672934741,0.41122892897273694,0.0009365818260659228
z,0.5030936574203991,0.01867318025095829,0.4664782414354413,0.49058971562112136,0.503287087102884,0.5152767054981899,0.5396061874699769,0.0007096329857213082
z_std,0.2139625525455592,0.02648502401013714,0.1652891829151617,0.19554034570420395,0.2139689962002471,0.2308711388330233,0.26760561325270277,0.0008172992697055296
z_subj.0,0.5118019192040856,0.024852604689300412,0.4622129286364236,0.4947301618170391,0.5117430332923816,0.5289628518078312,0.5600588620146079,0.0008151620349385864
z_subj.1,0.4852401502867662,0.024299061232474873,0.4362952163605544,0.4697878088553784,0.4860761805677154,0.5013996899552345,0.5322771574519982,0.0008269620385927805
z_subj.2,0.5644513927756578,0.024831644898182077,0.5128919126529276,0.5476732329343438,0.5648930528037226,0.5821444942035359,0.6120406599260511,0.0010303384502987104
z_subj.3,0.48979376364395255,0.021559251933020912,0.4480268697814166,0.47467570574051265,0.48967687369491725,0.5038501906214001,0.5331380783104017,0.0006846243453080901
z_subj.4,0.3878796132809475,0.0245592671110901,0.3417805494014239,0.3713807514653505,0.3871724316026674,0.40312852898939733,0.4393353773089335,0.0009444137636070282
z_subj.5,0.5564019347030553,0.027333076578304354,0.5017995639602667,0.538010470640684,0.5571239293033888,0.5751232461533332,0.6082691355834092,0.0010665107617698936
z_subj.6,0.4677477488216566,0.05484587499781598,0.3720514904271692,0.43009635662336976,0.4610502752449181,0.5054468572803081,0.5807154694841338,0.004897025000782703
z_subj.7,0.5231584058385431,0.018216709204457157,0.4864938464624788,0.5111028965374961,0.5230009475726434,0.5360034784293221,0.5578057200699926,0.00047536677888156207
z_subj.8,0.49756040503069326,0.020942784249282784,0.4552321202750116,0.48395364876951674,0.497882373823689,0.5120365354310673,0.5379930578652541,0.0005990103581679765
z_subj.9,0.6682149267278942,0.022635391327704747,0.6243472062458009,0.6526211281462463,0.6682395669471541,0.6838723375664985,0.7117490439172356,0.001013212697223248
z_subj.10,0.37971444618364675,0.02228297688424494,0.33618384029837256,0.3645642198365872,0.3803774967107864,0.3947993548246166,0.42372326603593485,0.0008232400478322875
