,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.294538447133013,0.5901889662415427,1.3055031554835093,1.86142841744482,2.246502383250032,2.6682323969379755,3.5942561874600614,0.019836173120185336
a_std,7.127244157653182,1.1476075017928837,5.0570695687602685,6.367302770452345,7.032562157747988,7.866852843246796,9.515009627732635,0.049037446343777345
a_subj.0,1.1625880573962548,0.03984451249639836,1.086232643391352,1.1362715372044434,1.1613171907764417,1.1882690661004576,1.2443267626221577,0.0014212124766777882
a_subj.1,4.798248872523413,0.45959572289856293,3.7420499263298783,4.595422653392343,4.880646741063221,5.062663916243495,5.5359074678667115,0.04547677743493137
a_subj.2,1.0859503596535012,0.0523563789298948,0.9759732642326764,1.0528556222983916,1.0867616402356526,1.1206968483565904,1.186460541737415,0.003095613870453244
a_subj.3,3.416511919390571e-08,8.580889591957184e-09,2.482783199376374e-08,2.8151648509402084e-08,3.145041971746282e-08,3.737382857942303e-08,5.726685931390567e-08,7.458550668574558e-10
a_subj.4,1.0131307540854133,0.03182834271335745,0.9544248907442995,0.9908869372429507,1.011430538478782,1.0332377184998054,1.0800537589385943,0.0009650899797063693
a_subj.5,5.616350626142128,0.39898723357497223,4.808010738687426,5.371467648589139,5.639679012133345,5.89800158156457,6.31256541041986,0.03928051097317352
a_subj.6,0.8620337221254002,0.02848171108534453,0.8076688458261692,0.8422363136323785,0.8617904579452403,0.88109421700214,0.9205752537829879,0.0011089548012832586
a_subj.7,308.9340956238193,54.22068040902401,209.29685040450244,262.3707586989456,299.9837233139405,366.09283858691924,394.90470436502187,5.4164436379463705
a_subj.8,0.8418436963573098,0.026580119042878624,0.7903683721506373,0.8239041679353277,0.8415564562738802,0.8590632130722045,0.8960226865345611,0.0006491630885175079
a_subj.9,1.377801422966955,0.06077093610286392,1.2670008258520908,1.3346219342831132,1.3763918479427328,1.416327314865457,1.5026261233381977,0.002836559823599838
a_subj.10,1.2943524031256464,0.05127025902625562,1.197043747818923,1.2582477635466456,1.2948268853250486,1.3292153997074656,1.3935966012477854,0.0022412764940260973
a_subj.11,1.3113773356199028,0.05897639773194501,1.20689685563126,1.2685824169698983,1.3094218572110805,1.3504792618184167,1.433068657901608,0.0027310914993906336
v(0),-3.97191588614543,2.867419871602865,-9.505495254790105,-5.976821331891271,-3.998281346241875,-1.9660485270331023,1.7333542812600173,0.056217082890513005
v(1),-2.19160750525318,2.8948560114972883,-7.873819617257574,-4.217385664753164,-2.227640131518718,-0.18370843444076002,3.470353276985967,0.07180528688394877
v_std,34.23871150799181,2.571156735395414,29.257020746433852,32.36137719346661,34.08101685559022,36.271734891787844,38.81075411798621,0.22892241959849322
v_subj(0).0,-1.1168893682645904,0.17767475987323766,-1.4605855218117645,-1.239586048717741,-1.1185359854650683,-1.000113588374466,-0.7611869044056465,0.004773134388296595
v_subj(0).1,-304.9504574982687,38.78034932945974,-391.23084427907605,-327.3381942927425,-301.53667512281663,-277.27917816430516,-241.38819521656393,2.8998489077377765
v_subj(0).2,-3.537325761313719,0.2946970547983294,-4.142778831549598,-3.7263231690455196,-3.536099588058429,-3.340330932075094,-2.974205548727753,0.010880070594847413
v_subj(0).3,-4.008304572699715,34.14006542534631,-70.61932732907466,-27.504392581880637,-4.097000021010889,18.30864980894394,64.72162565796512,0.6324466639118265
v_subj(0).4,-0.5470558779867599,0.19628572101853495,-0.9283034152420757,-0.6770975702093641,-0.547798714198193,-0.4188582180812368,-0.16435958049589428,0.003969933046998468
v_subj(0).5,-287.2506278572781,57.14294310318639,-376.18044813827566,-333.3924841107097,-289.75334607611387,-254.63636383843695,-154.86359330557858,5.697966157437447
v_subj(0).6,-0.9181521880428803,0.22232460416424166,-1.3456109675631096,-1.0699182871400366,-0.9247872313827681,-0.7599948469277108,-0.4801825389340104,0.005882729792203203
