label,param,spearman_real_vs_gen_est,spearman_real_vs_gen_latent
self,omit_rate,0.942857142857143,
self,v,0.7714285714285715,0.7714285714285715
self,a,0.942857142857143,1.0
self,t,0.2571428571428572,0.13093073414159545
self,z,0.942857142857143,1.0
stranger,omit_rate,1.0,
stranger,v,0.7714285714285715,0.7714285714285715
stranger,a,0.942857142857143,0.8857142857142858
stranger,t,0.8857142857142858,0.39279220242478635
stranger,z,0.942857142857143,0.8857142857142858
