target,rmse,r
v_self,2.4065576314894974e-05,0.9999999999744265
v_stranger,2.2692221282689098e-05,0.9999999999725234
a,0.20754918518243853,0.8999803443847129
t,0.008012373154271292,0.9980302738128731
z,1.6608050147349762e-06,0.9999999999076726
SPE_v,1.4743005457833825e-05,0.9999999992595774
