group_id,P,T_ms,W_ms,n_subjects,n_trials,acc,omission_rate,SPE_RT_ms
1,0.0,30.0,300.0,11,2860,0.1486013986013986,0.7230769230769231,2.159234545682466
2,0.0,30.0,600.0,12,3120,0.2618589743589744,0.5243589743589744,20.56987116819846
3,120.0,30.0,600.0,10,2600,0.3253846153846154,0.3861538461538462,21.643589966486786
4,120.0,80.0,600.0,11,2860,0.4513986013986014,0.3839160839160839,-3.4117049453072923
5,8.0,100.0,1100.0,11,2860,0.6832167832167833,0.10944055944055944,-62.494271480156385
6,120.0,500.0,1500.0,10,2600,0.8873076923076924,0.05615384615384615,-67.83278192022601
7,120.0,30.0,800.0,12,3120,0.6833333333333333,0.14294871794871794,-14.423044205265569
8,120.0,80.0,800.0,11,2860,0.6937062937062937,0.14685314685314685,-11.097415105684036
