target,rmse,mae,r
v_self,2.2094427553376867,2.0669543163249404,-0.09223090957507006
v_stranger,1.889235422272906,1.6274958343774142,0.1937226111267499
a,0.8831331639946769,0.6705564810216942,-0.4399996720322454
t,0.13798128090465786,0.10868168650533644,-0.308123760993437
z,0.1910031331393476,0.1097490206971879,-0.5402432108019001
SPE_v,0.7198075647590708,0.5656476620705992,-0.09172264047546942
