window_width_ms,n_windows,n_sig_windows,sig_proportion,sig_rt_lo_ms,sig_rt_hi_ms,mean_spe,max_spe,peak_rt_ms,peak_spe
100,36,27,0.75,234.14643998257804,1009.146439982578,0.04446461700665946,0.20668552733333767,459.14643998257804,0.20668552733333767
200,16,13,0.8125,234.14643998257804,1084.1464399825782,0.049637002985130324,0.18272662831159459,434.14643998257804,0.18272662831159459
300,10,9,0.9,234.14643998257804,1209.1464399825782,0.04987222055731989,0.15919273661962396,459.14643998257804,0.15919273661962396
400,6,5,0.8333333333333334,234.14643998257804,1134.1464399825782,0.0641418104184423,0.13710259518952883,434.14643998257804,0.13710259518952883
