rt_center_ms,rt_lo_ms,rt_hi_ms,n_self,n_stranger,n_total,p_self,p_stranger,spe,se_spe,spe_ci_lo,spe_ci_hi,z_stat,p_value,significant_05
284.14643998257804,234.14643998257804,334.14643998257804,1106,1150,2256,0.5632911392405063,0.5052173913043478,0.05807374793615849,0.02097106494125573,0.01697046065129726,0.09917703522101973,2.769232182477858,0.0056188577744635815,True
309.14643998257804,259.14643998257804,359.14643998257804,1028,1060,2088,0.6050583657587548,0.49528301886792453,0.1097753468908303,0.021639826550807477,0.06736128685124765,0.15218940693041294,5.072838575350508,3.9192495404627437e-07,True
334.14643998257804,284.14643998257804,384.14643998257804,1100,1103,2203,0.6081818181818182,0.5095194922937444,0.09866232588807378,0.02105245302531335,0.05739951795845961,0.13992513381768795,4.686500227286708,2.7791651100450565e-06,True
359.14643998257804,309.14643998257804,409.14643998257804,836,804,1640,0.6925837320574163,0.554726368159204,0.13785736389821235,0.0237044091887896,0.09139672188818473,0.18431800590823996,5.815684449263072,6.038628486138009e-09,True
384.14643998257804,334.14643998257804,434.14643998257804,931,787,1718,0.7261009667024705,0.576874205844981,0.14922676085748954,0.022886042147863665,0.10437011824767675,0.19408340346730232,6.520426725309486,7.010769742521461e-11,True
409.14643998257804,359.14643998257804,459.14643998257804,1159,950,2109,0.7446074201898188,0.588421052631579,0.1561863675582399,0.02046965609812771,0.11606584160590958,0.1963068935105702,7.630141259311422,2.353672812205332e-14,True
434.14643998257804,384.14643998257804,484.14643998257804,1219,972,2191,0.7579983593109105,0.5792181069958847,0.1787802523150258,0.020030645971891234,0.139520186210119,0.21804031841993263,8.925336335428524,0.0,True
459.14643998257804,409.14643998257804,509.14643998257804,1613,1342,2955,0.7513949163050218,0.5447093889716841,0.20668552733333767,0.017338080241400676,0.17270289006019235,0.240668164606483,11.920900379720491,0.0,True
484.14643998257804,434.14643998257804,534.146439982578,1820,1476,3296,0.7296703296703296,0.5291327913279132,0.2005375383424164,0.016648773149575313,0.16790594296924877,0.233169133715584,12.045184143044908,0.0,True
509.14643998257804,459.14643998257804,559.146439982578,2334,1862,4196,0.6975149957155099,0.5032223415682062,0.19429265414730368,0.014988535012523053,0.1649151255227585,0.22367018277184886,12.962751462032177,0.0,True
534.146439982578,484.14643998257804,584.146439982578,2728,2253,4981,0.6763196480938416,0.5019973368841545,0.1743223112096871,0.013827779908758428,0.1472198625885206,0.20142475983085362,12.606673837733885,0.0,True
559.146439982578,509.14643998257804,609.146439982578,2938,2421,5359,0.6358066712049013,0.4948368442792235,0.14096982692567783,0.013493200103112215,0.1145231547235779,0.16741649912777778,10.447471752320864,0.0,True
584.146439982578,534.146439982578,634.146439982578,3408,2942,6350,0.608274647887324,0.4840244731475187,0.12425017473980532,0.012442117983792104,0.0998636234915728,0.14863672598803784,9.986255949482356,0.0,True
609.146439982578,559.146439982578,659.146439982578,2965,2700,5665,0.5790893760539629,0.4811111111111111,0.09797826494285183,0.013216195532648342,0.07207452169886108,0.12388200818684258,7.413499951692857,1.2301271112846734e-13,True
634.146439982578,584.146439982578,684.146439982578,2940,2781,5721,0.5448979591836735,0.4617044228694714,0.08319353631420207,0.0131801643576995,0.05736041417311105,0.10902665845529308,6.3120257120012795,2.7540636438061483e-10,True
659.146439982578,609.146439982578,709.146439982578,3040,2852,5892,0.5404605263157894,0.4596774193548387,0.08078310696095076,0.01299176764723006,0.05531924237237984,0.10624697154952167,6.218022762912813,5.034586081364978e-10,True
684.146439982578,634.146439982578,734.146439982578,2709,2543,5252,0.5308231819859727,0.456547384978372,0.07427579700760067,0.01376593150966834,0.047294571248650726,0.10125702276655063,5.395624477387087,6.828563181571212e-08,True
709.146439982578,659.146439982578,759.146439982578,2607,2417,5024,0.5289604909858074,0.4596607364501448,0.06929975453566262,0.014083135498364647,0.04169680895886791,0.09690270011245733,4.920761753922612,8.620801976721992e-07,True
734.146439982578,684.146439982578,784.146439982578,2440,2203,4643,0.5295081967213114,0.47208352246936,0.05742467425195147,0.01467071967988136,0.028670063679384003,0.08617928482451893,3.9142370316502326,9.06905140338754e-05,True
759.146439982578,709.146439982578,809.146439982578,1811,1810,3621,0.48591938155715075,0.47513812154696133,0.01078126001018942,0.01660469359496668,-0.021763939435945276,0.043326459456324115,0.6492899100202308,0.5161510063157058,False
784.146439982578,734.146439982578,834.146439982578,1534,1610,3144,0.46870925684485004,0.5055900621118012,-0.0368808052669512,0.01782117958021303,-0.07181031724416874,-0.0019512932897336605,-2.069492936814362,0.03849985345106033,True
809.146439982578,759.146439982578,859.146439982578,1508,1679,3187,0.45291777188328913,0.5104228707564026,-0.05750509887311345,0.01769593060203432,-0.09218912285310071,-0.02282107489312618,-3.2496227616592637,0.001155581893015345,True
834.146439982578,784.146439982578,884.146439982578,1209,1414,2623,0.445822994210091,0.5261669024045261,-0.08034390819443515,0.019510865614385222,-0.11858520479863019,-0.04210261159024012,-4.117905877799608,3.823307772021778e-05,True
859.146439982578,809.146439982578,909.146439982578,1102,1231,2333,0.4627949183303085,0.5361494719740049,-0.07335455364369636,0.0206792049118012,-0.1138857952708267,-0.03282331201656601,-3.547261800275233,0.00038925757103491776,True
884.146439982578,834.146439982578,934.146439982578,878,989,1867,0.4521640091116173,0.5257836198179979,-0.07361961070638062,0.023113636549847907,-0.11892233834408253,-0.028316883068678723,-3.1851158751072886,0.0014469605741824765,True
909.146439982578,859.146439982578,959.146439982578,701,759,1460,0.4579172610556348,0.5270092226613966,-0.06909196160576181,0.02612521167490904,-0.12029737648858352,-0.017886546722940093,-2.644646958865353,0.008177618789182661,True
934.146439982578,884.146439982578,984.146439982578,575,624,1199,0.44869565217391305,0.5208333333333334,-0.07213768115942032,0.028812331543807832,-0.12860985098528366,-0.015665511333556967,-2.5037085613754746,0.012289922218376548,True
959.146439982578,909.146439982578,1009.146439982578,484,545,1029,0.4256198347107438,0.5064220183486239,-0.08080218363788005,0.031044133920685803,-0.14164868612242423,-0.01995568115333588,-2.6028164884328984,0.009246143059736145,True
984.146439982578,934.146439982578,1034.1464399825782,463,545,1008,0.4470842332613391,0.48807339449541287,-0.04098916123407376,0.03150180496902309,-0.10273269897335902,0.020754376505211503,-1.301168656030343,0.1932007314934412,False
1009.146439982578,959.146439982578,1059.1464399825782,351,457,808,0.41595441595441596,0.47045951859956237,-0.05450510264514641,0.03517474632851208,-0.12344760544903008,0.014437400158737262,-1.5495521171950986,0.12124905325906332,False
1034.1464399825782,984.1464399825782,1084.1464399825782,357,435,792,0.4257703081232493,0.4528735632183908,-0.0271032550951415,0.03541825701983068,-0.09652303885400963,0.042316528663726635,-0.7652340170202725,0.4441322069254985,False
1059.1464399825782,1009.1464399825782,1109.1464399825782,272,349,621,0.40441176470588236,0.4355300859598854,-0.031118321254003045,0.0398741562585731,-0.10927166752080632,0.04703502501280023,-0.7804132845397195,0.43514765094606744,False
1084.1464399825782,1034.1464399825782,1134.1464399825782,247,319,566,0.4048582995951417,0.44200626959247646,-0.03714796999733477,0.041816911538164886,-0.11910911661213795,0.044813176617468406,-0.8883480063665408,0.37435358400755137,False
1109.1464399825782,1059.1464399825782,1159.1464399825782,218,286,504,0.41284403669724773,0.44755244755244755,-0.03470841085519982,0.04445730641023903,-0.12184473141926833,0.05242790970886868,-0.7807133103144115,0.4349711303604704,False
1134.1464399825782,1084.1464399825782,1184.1464399825782,185,246,431,0.42162162162162165,0.44715447154471544,-0.025532849923093792,0.04819805964234763,-0.12000104682209514,0.06893534697590756,-0.5297485025861954,0.5962863144805048,False
1159.1464399825782,1109.1464399825782,1209.1464399825782,167,236,403,0.437125748502994,0.4449152542372881,-0.0077895057342941,0.050197599634846365,-0.10617680101859298,0.09059778955000478,-0.1551768568807571,0.8766818928024593,False
