groupID,DesignCell,P,T_ms,W_ms,n_subjects,n_trials,acc,omission_rate,rt_mean_ms,rt_sd_ms
1,P0_T30_W300,0,30.0,300.0,11,5720,0.14213286713286713,0.7159090909090909,259.4958651701544,30.65995137325523
2,P0_T30_W600,0,30.0,600.0,12,6240,0.25769230769230766,0.5403846153846154,421.5706720014257,136.05051787877414
5,P8_T100_W1100,8,100.0,1100.0,11,5720,0.6886363636363636,0.11031468531468532,704.8894731971402,199.69288145638853
3,P120_T30_W600,120,30.0,600.0,10,5200,0.3119230769230769,0.3803846153846154,382.8753972377491,133.24149271451535
7,P120_T30_W800,120,30.0,800.0,12,6240,0.6445512820512821,0.15208333333333332,594.2070420906388,145.60517760531152
4,P120_T80_W600,120,80.0,600.0,11,5720,0.4263986013986014,0.39195804195804196,511.81767719935334,113.49705109662222
8,P120_T80_W800,120,80.0,800.0,11,5720,0.6624125874125875,0.15489510489510488,610.7446997517825,135.75658207220036
6,P120_T500_W1500,120,500.0,1500.0,10,5200,0.890576923076923,0.0525,918.0756931395933,246.12684249905513
