file,groupID,subjectID,P,T,W,n_formal,omission_rate,accuracy,quality,match_key,correct_order,errors,status
EXP_data_group1_1.csv,1,1,0,0.03,0.3,520,80.76923076923077,49.0,exclude,f,"square↔stranger, circle↔self",0,OK
EXP_data_group1_10.csv,1,10,0,0.03,0.3,520,66.73076923076923,53.179190751445084,exclude,j,"square↔self, circle↔stranger",0,OK
EXP_data_group1_11.csv,1,11,0,0.03,0.3,520,56.15384615384615,48.24561403508772,exclude,j,"square↔stranger, circle↔self",0,OK
EXP_data_group1_2.csv,1,2,0,0.03,0.3,520,64.61538461538461,45.108695652173914,exclude,j,"square↔self, circle↔stranger",0,OK
EXP_data_group1_3.csv,1,3,0,0.03,0.3,520,78.07692307692308,43.859649122807014,exclude,j,"square↔stranger, circle↔self",0,OK
EXP_data_group1_4.csv,1,4,0,0.03,0.3,520,56.92307692307692,48.660714285714285,exclude,f,"square↔self, circle↔stranger",0,OK
EXP_data_group1_5.csv,1,5,0,0.03,0.3,520,75.76923076923077,57.14285714285714,exclude,f,"square↔stranger, circle↔self",0,OK
EXP_data_group1_6.csv,1,6,0,0.03,0.3,520,85.0,51.28205128205128,exclude,j,"square↔self, circle↔stranger",0,OK
EXP_data_group1_7.csv,1,7,0,0.03,0.3,520,78.26923076923077,51.32743362831859,exclude,j,"square↔stranger, circle↔self",0,OK
EXP_data_group1_8.csv,1,8,0,0.03,0.3,520,79.61538461538461,53.77358490566038,exclude,f,"square↔self, circle↔stranger",0,OK
EXP_data_group1_9.csv,1,9,0,0.03,0.3,520,65.57692307692308,51.955307262569825,exclude,f,"square↔stranger, circle↔self",0,OK
EXP_data_group2_1.csv,2,1,0,0.03,0.6,520,40.57692307692308,50.48543689320388,exclude,f,"square↔stranger, circle↔self",0,OK
EXP_data_group2_10.csv,2,10,0,0.03,0.6,520,50.57692307692307,47.081712062256805,exclude,j,"square↔self, circle↔stranger",0,OK
EXP_data_group2_11.csv,2,11,0,0.03,0.6,520,69.8076923076923,75.79617834394905,exclude,j,"square↔stranger, circle↔self",677,677 ERRORS
EXP_data_group2_12.csv,2,12,0,0.03,0.6,520,48.07692307692308,49.25925925925926,exclude,f,"square↔self, circle↔stranger",0,OK
EXP_data_group2_2.csv,2,2,0,0.03,0.6,520,88.65384615384615,44.06779661016949,exclude,j,"square↔self, circle↔stranger",0,OK
EXP_data_group2_3.csv,2,3,0,0.03,0.6,520,49.61538461538461,59.16030534351145,exclude,j,"square↔stranger, circle↔self",0,OK
EXP_data_group2_4.csv,2,4,0,0.03,0.6,520,81.53846153846153,44.79166666666667,exclude,f,"square↔self, circle↔stranger",0,OK
EXP_data_group2_5.csv,2,5,0,0.03,0.6,520,25.576923076923073,48.06201550387597,exclude,f,"square↔stranger, circle↔self",0,OK
EXP_data_group2_6.csv,2,6,0,0.03,0.6,520,67.3076923076923,77.05882352941177,exclude,j,"square↔self, circle↔stranger",0,OK
EXP_data_group2_7.csv,2,7,0,0.03,0.6,520,30.961538461538463,50.41782729805014,exclude,j,"square↔stranger, circle↔self",0,OK
EXP_data_group2_8.csv,2,8,0,0.03,0.6,520,76.34615384615384,43.08943089430895,exclude,f,"square↔self, circle↔stranger",0,OK
EXP_data_group2_9.csv,2,9,0,0.03,0.6,520,19.423076923076923,72.55369928400954,exclude,f,"square↔stranger, circle↔self",0,OK
EXP_data_group3_1.csv,3,1,120,0.03,0.6,520,39.61538461538461,50.0,caution,f,"square↔stranger, circle↔self",0,OK
