subj_idx,rt,response,identity,condition,omission
0,0.875886800000444,1,1,1,0
0,0.745152700008475,1,0,1,0
0,0.704923099998268,0,1,0,0
0,0.817138300000806,0,0,0,0
0,0.79342230000475,0,1,0,0
0,0.710511699988274,1,1,1,0
0,0.821323199998005,0,0,0,0
0,0.745169100002386,1,0,1,0
0,0.703412199989543,0,1,0,0
0,2.0,1,0,0,1
0,2.0,0,1,1,1
0,0.781327499993495,1,0,1,0
0,1.03181190000032,1,1,1,0
0,0.809129800007213,0,1,0,0
0,0.743023799994262,1,0,1,0
0,0.853265600002487,0,0,0,0
0,0.967859299998963,0,0,0,0
0,1.08128399999987,0,1,0,0
0,0.935951299994485,1,1,1,0
0,0.841220100002829,1,0,1,0
0,0.74472849999438,0,1,0,0
0,0.998697099988931,0,0,0,0
0,1.01788790000137,1,0,1,0
0,0.704481900000246,1,1,1,0
0,2.0,0,0,1,1
0,0.704414899999392,0,0,0,0
0,0.911843800000497,0,1,0,0
0,0.936062500011758,1,1,1,0
0,0.937068499988527,0,1,0,0
0,0.854274700002861,0,0,0,0
0,0.91851420000603,1,1,1,0
0,0.888356299998122,1,0,1,0
0,0.918926099999226,0,0,0,0
0,0.840669500001241,0,1,0,0
0,0.822284399997443,1,1,1,0
0,0.98704349999025,1,0,1,0
0,1.16076529999555,0,1,0,0
0,0.968609599993215,0,0,0,0
0,0.887557900001411,1,1,1,0
0,0.856290300012915,1,0,1,0
0,0.80797920000623,0,0,0,0
0,0.870964599991567,1,1,1,0
0,0.808782200008864,1,0,1,0
0,0.704125599993858,0,1,0,0
0,0.703458899995894,0,1,0,0
0,2.0,0,1,1,1
0,0.704972599996836,0,0,0,0
0,0.875672199996188,1,0,1,0
0,0.937317900010385,1,0,1,0
0,0.840945499992813,0,0,0,0
0,0.703441799996654,1,1,1,0
0,0.704605199993239,0,1,0,0
0,0.942622000002302,1,0,1,0
0,0.703572300000815,0,1,0,0
0,0.704035499991733,0,0,0,0
0,0.704509100003634,1,1,1,0
0,2.0,1,0,0,1
0,0.772442099987529,0,1,0,0
0,0.703772999986541,1,1,1,0
0,0.709319100002176,1,0,1,0
0,0.824520499998471,0,1,0,0
0,0.793076799993287,1,0,1,0
0,0.809273100006976,0,0,0,0
0,0.726877900000545,1,1,1,0
0,0.792538499998045,1,0,1,0
0,0.904830800005584,0,0,0,0
0,0.703803399999742,1,1,1,0
0,0.867712899998878,0,1,0,0
0,1.04870699999447,0,1,0,0
0,0.703655799996341,1,0,1,0
0,0.72276599999168,1,1,1,0
0,0.728429100010544,0,0,0,0
0,0.871683399993344,1,0,1,0
0,0.759199299995089,0,0,0,0
0,0.727393599998322,1,1,1,0
0,0.704962000003434,0,1,0,0
0,0.738341699994635,0,1,0,0
0,0.821867600010592,0,0,0,0
0,0.729693000001134,1,0,1,0
0,0.823390899997321,1,1,1,0
0,0.704606600003899,1,0,1,0
0,0.703687100001844,0,0,0,0
0,0.703733799993643,1,1,1,0
0,0.704715800005943,0,1,0,0
0,0.78057629999239,1,0,1,0
0,0.703678500009119,1,1,1,0
0,0.803697700001067,0,1,0,0
0,0.703401899998426,1,0,0,0
0,0.864156499999808,0,0,0,0
0,0.70433399999456,1,1,0,0
0,0.703764999998384,1,1,1,0
0,0.703956800003652,1,0,1,0
0,0.704727699994692,0,0,0,0
0,0.70331100000476,1,1,1,0
0,0.921693299998879,1,0,1,0
0,0.777952699994785,0,1,0,0
0,1.06689979998919,0,1,0,0
0,0.872271600004751,1,0,1,0
0,0.703847400000086,1,1,1,0
0,0.719311699998798,0,0,0,0
0,1.00009499999578,0,1,0,0
0,0.807441400000243,0,0,0,0
0,0.704858499986585,1,1,1,0
0,0.704369600003702,1,0,1,0
0,0.942583500000183,1,0,1,0
0,0.703426899999613,1,1,1,0
0,2.0,1,1,0,1
0,2.0,1,0,0,1
0,0.70392030000221,0,0,0,0
0,0.757612900008098,1,1,0,0
0,0.70397599998978,1,1,1,0
0,0.914459699997678,1,0,1,0
0,0.703796700006933,1,0,1,0
0,0.706379800001741,0,0,0,0
0,0.793754900005297,0,1,0,0
0,0.904059100008453,1,1,1,0
0,0.872716999991098,0,0,1,0
0,0.775691499991808,0,0,0,0
0,0.705000499991002,1,1,1,0
0,0.737063699998544,0,1,0,0
0,0.951549200006411,0,1,0,0
0,0.936284499999601,0,0,0,0
0,0.712236100007431,1,1,1,0
0,0.704893000001903,1,0,1,0
0,0.769712900000741,1,1,1,0
0,0.759619299991755,0,0,0,0
0,1.0817068000033,1,0,1,0
0,0.777185900005861,0,1,0,0
0,0.808113199993386,0,0,0,0
0,0.858184599986998,1,0,1,0
0,0.760754699993413,0,1,0,0
0,0.712467400007881,1,1,1,0
0,0.704367500002263,1,1,1,0
0,0.704893800007994,0,0,0,0
0,1.0014427999995,1,0,1,0
0,0.745452299990575,0,1,0,0
0,0.703430900000967,1,1,1,0
0,0.703482199998689,0,0,0,0
0,2.0,1,1,0,1
0,2.0,0,0,1,1
0,0.70392030000221,1,1,1,0
0,0.770839199991315,1,0,1,0
0,1.03530080000928,0,1,0,0
0,0.704277799988631,1,0,0,0
0,1.52190469999914,1,0,0,0
0,0.703471100001479,1,0,1,0
0,0.740542100000312,0,1,0,0
0,2.0,0,1,1,1
0,0.82754460000433,0,1,0,0
0,0.838637100008782,1,1,1,0
0,0.703430699999444,0,0,0,0
0,0.773485099998652,1,0,1,0
0,0.790753799999948,0,0,0,0
0,1.03775519999908,0,1,0,0
0,0.887362200010102,1,1,1,0
0,0.808266499996535,1,0,1,0
0,0.703511300001992,0,0,0,0
0,1.06469590000052,1,0,1,0
0,1.01637919999484,0,1,0,0
0,0.75945800000045,1,1,1,0
0,0.759211000011419,1,0,1,0
0,0.889827099992544,0,1,0,0
0,0.703542100003688,1,1,1,0
0,0.736620099996799,1,0,0,0
0,0.703649600007338,1,0,1,0
0,0.704479199994239,0,1,0,0
0,0.704793900004006,1,1,1,0
0,0.882390099999611,0,0,0,0
0,0.824461600001086,1,0,1,0
0,0.838753500007442,0,0,0,0
0,0.705326399998739,1,1,1,0
