subj_idx,rt,response,identity,condition,omission
0,0.551920600002632,0,0,0,0
0,0.533119400031865,1,0,1,0
0,0.567811500048265,1,1,1,0
0,0.520571100059897,0,1,0,0
0,0.535063200048171,1,0,1,0
0,0.596827699919231,1,1,1,0
0,0.601073700003326,0,0,0,0
0,0.615862600039691,1,1,0,0
0,0.728678499930538,0,1,0,0
0,0.679293200024404,1,1,1,0
0,0.761698100017384,1,0,1,0
0,0.553350299946032,0,0,0,0
0,0.631836100015789,1,0,1,0
0,0.584708400070667,1,1,1,0
0,0.618822599994019,0,1,0,0
0,0.584892399958335,1,0,0,0
0,0.570019399980083,1,0,1,0
0,0.648683000006713,0,1,0,0
0,0.409438200062141,1,1,1,0
0,0.664082399918698,1,0,0,0
0,0.633051699958742,0,0,1,0
0,0.8300000000000001,1,0,0,1
0,0.44606429990381,1,1,0,0
0,0.8300000000000001,0,1,1,1
0,0.8300000000000001,1,1,0,1
0,0.8300000000000001,1,0,0,1
0,0.637629400007427,1,1,1,0
0,0.777558099944144,0,0,1,0
0,0.713021799921989,0,0,0,0
0,0.746460899943486,1,1,0,0
0,0.8300000000000001,0,1,1,1
0,0.8300000000000001,0,0,1,1
0,0.35934319999069,1,1,1,0
0,0.567664199974388,1,0,1,0
0,0.615950100007467,0,0,0,0
0,0.616693399962969,1,1,0,0
0,0.632630400010385,1,0,0,0
0,0.551894800039008,1,1,1,0
0,0.64899889996741,0,1,0,0
0,0.8300000000000001,0,0,1,1
0,0.638160099973902,1,0,1,0
0,0.504035200108774,1,1,1,0
0,0.616111400071532,0,0,0,0
0,0.857979099964723,0,1,0,0
0,0.713132499950007,0,1,0,0
0,0.792020100052468,0,0,0,0
0,0.712764899944887,1,1,1,0
0,0.646997899981216,1,0,1,0
0,0.825441200053319,1,1,1,0
0,0.60057890007738,0,0,0,0
0,0.535884800017811,1,0,1,0
0,0.551002799998969,0,1,0,0
0,0.666394399944693,1,0,1,0
0,0.615870299981907,1,1,1,0
0,0.504694900009781,0,1,0,0
0,0.664278000011109,0,0,0,0
0,0.519757100031711,1,1,1,0
0,0.536213000072166,1,0,1,0
0,0.616387899965048,0,0,0,0
0,0.584428900037892,1,1,0,0
0,0.553252600017004,1,0,1,0
0,0.585265500005335,1,1,1,0
0,0.45510150003247,0,0,0,0
0,0.8300000000000001,1,1,0,1
0,0.592429100070149,1,0,1,0
0,0.60158220003359,0,0,0,0
0,0.617560000042431,0,1,0,0
0,0.441212199977599,1,1,1,0
0,0.425798299955204,1,1,1,0
0,0.456563899992034,0,1,0,0
0,0.712687100050971,1,0,0,0
0,0.8300000000000001,0,0,1,1
0,0.496004999964498,0,0,0,0
0,0.617228500079364,0,1,0,0
0,0.553551600081846,0,0,1,0
0,0.8300000000000001,0,1,1,1
0,0.591139000025578,0,0,0,0
0,0.53622120001819,1,1,1,0
0,0.601165400003083,0,1,0,0
0,0.488790999981575,1,0,1,0
0,0.713325599906966,1,1,1,0
0,0.601162799983285,1,0,1,0
0,0.489119799924083,0,0,0,0
0,0.649681899929419,0,1,0,0
0,0.8300000000000001,0,0,1,1
0,0.35240099998191,1,1,1,0
0,0.568930400069803,0,1,0,0
0,0.568334999959916,1,0,0,0
0,0.8300000000000001,1,1,0,1
0,0.479173299972899,1,1,1,0
0,0.488349999999627,0,0,1,0
0,0.8300000000000001,1,0,0,1
0,0.528131500002928,1,0,1,0
0,0.536503300070763,1,1,1,0
0,0.567676499951631,0,1,0,0
0,0.713014999986626,1,0,0,0
0,0.8300000000000001,1,1,0,1
0,0.8300000000000001,0,0,1,1
0,0.8300000000000001,1,0,0,1
0,0.574769100057893,1,1,1,0
0,0.633799400064163,0,1,1,0
0,0.8300000000000001,0,0,1,1
0,0.527666799956933,0,1,0,0
0,0.473051599925384,1,0,0,0
0,0.571965000010096,0,0,0,0
0,0.504462599987164,1,1,1,0
0,0.425413000048138,1,0,1,0
0,0.665731299901381,0,1,0,0
0,0.552669800003059,0,0,0,0
0,0.537260900018737,1,0,1,0
0,0.680663499981165,0,1,0,0
0,0.488274600007571,1,1,1,0
0,0.553480400005355,0,1,0,0
0,0.584385000052862,1,0,1,0
0,0.55345310003031,1,1,1,0
0,0.600746899959631,0,0,0,0
0,0.488821199978702,1,1,0,0
0,0.808582499972545,0,0,1,0
0,0.776116000022739,1,1,1,0
0,0.630805899971165,0,0,0,0
0,0.743873100029305,0,1,0,0
0,0.456479999935254,1,0,1,0
0,0.40861349995248,1,1,1,0
0,0.569422199972905,0,0,0,0
0,0.615848500048742,1,1,1,0
0,0.616567500052042,0,1,0,0
0,0.425085099996068,1,0,1,0
0,0.488258400000632,0,0,0,0
0,0.8300000000000001,1,1,0,1
0,0.366308899945579,1,0,0,0
0,0.600477500003763,1,1,1,0
0,0.392871999996714,0,0,1,0
0,0.8300000000000001,0,1,1,1
0,0.655176999978721,1,0,1,0
0,0.504370000096969,0,0,0,0
0,0.584681099979207,1,1,0,0
0,0.8300000000000001,1,1,0,1
0,0.8300000000000001,0,0,1,1
0,0.544680500053801,1,1,1,0
0,0.551976600079797,0,0,0,0
