group_id,P,T_ms,W_ms,M_ms,v_stranger_mean,v_stranger_std,v_stranger_q025,v_stranger_q975,v_self_mean,v_self_std,v_self_q025,v_self_q975,a_mean,a_std,a_q025,a_q975,t_mean,t_std,t_q025,t_q975,z_mean,z_std,z_q025,z_q975,SPE_v
1,0,30,300,330,-0.0587892581361486,0.0778231508634805,-0.2013445221477985,0.0970273045734434,-0.0135151128787331,0.0826210624485082,-0.1791247175478533,0.1534043927873987,0.6125344704056319,0.0115360102299317,0.5915216954496608,0.6351351765576296,0.2185680865308762,0.0005599687710176,0.2175084931330899,0.2197250606860753,0.5116301161450719,0.0118115109301715,0.4877475374223179,0.5347456258509137,0.04527414525741551
2,0,30,600,630,-0.0580660211110222,0.1559860722999732,-0.3621923735262002,0.2452023453298072,0.2079240534347226,0.1616012817179393,-0.1045763114674876,0.5143500542739055,0.99829959547412,0.3453485601972476,0.4724261616763281,1.7624062642355494,0.40120686701928,0.0670180238782769,0.2921295537135249,0.5536324101954779,0.4949629711818484,0.0107150065038247,0.4736378413409114,0.51549122491932,0.2659900745457448
3,120,30,600,630,0.1660043048013216,0.1246672064764024,-0.0781562894442447,0.4199653395991681,-0.0370968163379072,0.1222071848464057,-0.2802889221417723,0.2004485770112137,1.087522116855488,0.3673303954043267,0.5326006110551922,1.9288868293656627,0.3391825869867223,0.0656074133763072,0.2359311426602404,0.5046206678820235,0.5043316913539199,0.0094539600635472,0.4854030585251577,0.5227946037684139,-0.20310112113922882
4,120,80,600,680,0.0792177643214146,0.1793589585925668,-0.2666169288346311,0.446639066390523,0.101021133946118,0.1798026760040258,-0.2521068191116419,0.4517425985702006,1.146418440559514,0.397340345885689,0.55276764600968,2.079401768830456,0.3974215023971605,0.0519785068717843,0.3077754405748187,0.5178145770965922,0.5088291538359054,0.0102848728130497,0.4892288045864763,0.5291063584980193,0.021803369624703403
5,8,100,1100,1200,-0.014905581255214,0.0724048659167751,-0.1596260626832246,0.1222679404945731,0.0345680075727397,0.0765373304489289,-0.1151333268154053,0.1872133396175044,1.2550748742659517,0.0360510893241704,1.1842277577612808,1.3318525227489633,0.3989089635039702,0.0469501057454987,0.3182796379377137,0.5041756108320996,0.4917042098735443,0.0124893533813077,0.4676421655658122,0.5163074092781202,0.049473588827953704
6,120,500,1500,2000,-0.0619192587278282,0.0735660188547445,-0.2120176331985236,0.0804940522860564,0.0011220258583516,0.0760898326643367,-0.1521131371747995,0.1457438423425425,1.055286920384099,0.1074637883538865,0.8818497868702658,1.2783637360540818,0.6516693963464679,0.0066386667554037,0.6381552144039863,0.6642967427725933,0.5050865205257331,0.0103759268395474,0.4841517677086154,0.5258348052386501,0.0630412845861798
7,120,30,800,830,0.2083220718825619,0.1066468838053439,0.003139100216336,0.4277599277731628,0.2099215789578743,0.1096433105637354,-0.0097772077004164,0.420229083614467,0.9891908051521056,0.0311225965255719,0.9299353154334636,1.0549487941795963,0.4129495602375997,0.0391589952838527,0.3427398440599699,0.4955182380359483,0.491554221665781,0.012321115235063,0.4668843986101741,0.5159117828744415,0.0015995070753123952
8,120,80,800,880,0.1965172013510238,0.1094167715101374,-0.0178559818898111,0.4125517089634564,0.1456147209444634,0.1095592158090396,-0.0658932559082241,0.3636827757020704,1.0081722848865369,0.0419268362175274,0.9285438567235252,1.0968539250947356,0.4248032558339981,0.0295597003667105,0.3698635192320672,0.4906304762943961,0.4918491881374308,0.0129188825522516,0.4658517627343443,0.5168734841493835,-0.050902480406560396
