,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,0.6125344704056319,0.011536010229931766,0.5915216954496608,0.6049070668279193,0.612244376105437,0.6199212341089554,0.6351351765576296,0.00028555698439432654
a_std,0.0354102361067073,0.010921615880532346,0.019850274808222663,0.02778000987824418,0.03361679898149131,0.041025946211139794,0.060896247041330676,0.00035467505596787843
a_subj.0,0.628428403682949,0.011626457651471949,0.6061742168141141,0.6205802596275717,0.6279864998442344,0.6362955185283864,0.6515038451582673,0.0002902035086400429
a_subj.1,0.6056156988848207,0.011345405355609925,0.5839208151368381,0.59757664773389,0.6053714642530921,0.6134774487780884,0.6280908739479458,0.00030343683956220077
a_subj.2,0.6413162979574899,0.013152354557609016,0.615755254901636,0.6325352523390074,0.640880029040371,0.6501334575540918,0.6681459083600438,0.0004461918802231393
a_subj.3,0.5672313406833634,0.011002359802052311,0.5452104706010863,0.5596814122937828,0.5670481536310782,0.574387644155412,0.5898486206064295,0.0003311841977867885
a_subj.4,0.6279045642571791,0.012363813888509151,0.6046099722418354,0.619400001035108,0.6275881315418773,0.6364033238473763,0.6522786004780539,0.00037238811455314244
a_subj.5,0.6482594141667866,0.013097179505522454,0.6227214807921035,0.6389244024038543,0.648469777999479,0.6567405752828924,0.6747529320165991,0.00039004796380422114
a_subj.6,0.6051197481809096,0.011987514385930263,0.5832388266072513,0.5964064485940079,0.6049068757726181,0.6135482609611362,0.6294163049600721,0.0004260708037684501
a_subj.7,0.6373267050183389,0.012179943751981588,0.6137955883511098,0.6290446715722756,0.6369836838007638,0.6456807908638392,0.6618908805786659,0.00034187878220689235
a_subj.8,0.6044970230547979,0.011377644019632755,0.5827054330931779,0.5966307879988147,0.6042231661124181,0.6124650838382216,0.6264417836598296,0.0003085761105654332
a_subj.9,0.597338364272565,0.011249771584821199,0.5762979881446287,0.589524050567332,0.5969922140216732,0.604922545586696,0.6197981679620079,0.00029070729222858375
a_subj.10,0.5633605371458689,0.011030381031772061,0.5426140459773645,0.5558878387060047,0.5634507869092987,0.5705913881610706,0.5861518102127766,0.00030453460275234854
v(0),-0.05878925813614864,0.07782315086348059,-0.20134452214779855,-0.11374255907598142,-0.06387143781647317,-0.005113090323708116,0.09702730457344344,0.004148062374001219
v(1),-0.013515112878733129,0.08262106244850825,-0.17912471754785333,-0.06909345686083362,-0.017062138671476948,0.04023499602271191,0.15340439278739876,0.0046480662064524916
v_std,0.1280692488292743,0.0751695457300509,0.014583068527382448,0.07247516684367429,0.11981240178338318,0.17436061382728574,0.3047952555827436,0.0059249637411354725
v_subj(0).0,-0.10428443554494679,0.12736221690220945,-0.3866351284452,-0.1750650327273576,-0.10213360640409061,-0.023915336380562868,0.14144942880315337,0.004766862075556025
v_subj(0).1,-0.0670295347195963,0.12022362441884095,-0.31574749966685467,-0.13626752359932137,-0.07089154930878364,0.007732614403670235,0.17641950203014323,0.004443463150544874
v_subj(0).2,-0.07261375252502532,0.1252148253760479,-0.3273261247669309,-0.14591684951435935,-0.07445107900764147,0.001985013067766994,0.1827347262795831,0.00407100280160606
v_subj(0).3,-0.1485156761819581,0.1406487202289812,-0.491236027753595,-0.22399124404741877,-0.12833607768908628,-0.05861484184809809,0.08957387416919843,0.006638267365202703
v_subj(0).4,-0.01703741703583232,0.12920426909133187,-0.25337232818998623,-0.10610954124320854,-0.02846562739808034,0.05977952030725964,0.2690526357068068,0.0060037008719820715
v_subj(0).5,-0.07802171788961505,0.1208330125059474,-0.3378633499958345,-0.14566136185515888,-0.08029725280589542,-0.004920759893827467,0.1666165360023074,0.003952648035808419
v_subj(0).6,-0.042078619656673776,0.1250618151557666,-0.26213682239383373,-0.12187668829681267,-0.05182494164243304,0.03147681361197907,0.23970378935247616,0.004265217527513376
v_subj(0).7,-0.0833377569076316,0.12364934132834242,-0.3535368171287707,-0.15270110252607055,-0.08333380602676117,-0.011455641632468039,0.16440453676049627,0.004435511947948952
v_subj(0).8,0.07592705641514194,0.1673846860159592,-0.17187184483141615,-0.05341566309595269,0.05028647034628797,0.18188319665125977,0.44716872181224465,0.010121138785217313
v_subj(0).9,-0.07830937740103563,0.12497335174251313,-0.3294957569069036,-0.15134584676867535,-0.080302465504281,-0.005291052576792243,0.17392044168414011,0.004197101156934802
v_subj(0).10,-0.04720699895023591,0.12774839809504157,-0.28131838069114856,-0.12550560880412248,-0.05663559534903295,0.027459856935731275,0.22139305949908705,0.004559252361005829
v_subj(1).0,0.018248734332696137,0.12578248405576375,-0.21107355870191158,-0.06340120154586026,0.004557029129971649,0.09886285658555241,0.29626742222292934,0.005030629220998654
v_subj(1).1,-0.013575527693997802,0.1292408030718554,-0.268364712399334,-0.09167383889432423,-0.02049025649250036,0.0684131902945479,0.2451977761469819,0.005370098529214754
v_subj(1).2,-0.029377592899509,0.12476079033290283,-0.28958651598218044,-0.10336331006861776,-0.02856584846776901,0.0490316793893294,0.21935552313374762,0.004920256353529106
v_subj(1).3,-0.1699119610069631,0.1776975441982576,-0.5744659944903575,-0.2744908608865032,-0.13660419263653295,-0.043004285487086596,0.10899277148093328,0.01074290028928809
v_subj(1).4,0.027788998686335248,0.1331692882113881,-0.21977714073262744,-0.05980660548875194,0.010652265378991554,0.10993085468440833,0.3121524991976953,0.005682214070189364
v_subj(1).5,0.03908060846122378,0.12472934868230073,-0.17244455811277204,-0.0485901050358562,0.023103280990643404,0.11892973529650908,0.3147656919926587,0.005581712129973547
v_subj(1).6,-0.07372009696440948,0.12962126447771455,-0.36494730229854544,-0.1479013036689849,-0.06236869832947328,0.005957780605686108,0.16272550548083786,0.005179641392841585
v_subj(1).7,-0.03867624601949243,0.12545160540080544,-0.31541535993229375,-0.10980845246588922,-0.033743036461859166,0.03450140615509134,0.21258571719065866,0.005059975050407117
v_subj(1).8,0.057995080086781454,0.14060238419033955,-0.16809194257355337,-0.04043476072472918,0.03304785936518667,0.1429845043057374,0.3748062146822002,0.006837963715381698
v_subj(1).9,-0.01802636550080829,0.12860308053096153,-0.27306782394257645,-0.09659095603195306,-0.02068957333379809,0.06145455973312847,0.23771202077496967,0.005075588376103868
v_subj(1).10,0.04493664427968088,0.13766258540826704,-0.19326497115432942,-0.047514543385684574,0.02881186034024763,0.12953985967512288,0.35184147353211515,0.006205641779134949
t,0.2185680865308762,0.0005599687710176568,0.2175084931330899,0.21821731741081038,0.21855764547208378,0.21889998420693008,0.21972506068607534,1.997988170959485e-05
t_std,0.001328713686928009,0.0006475813249163995,0.00026599112877617395,0.0008974188243121877,0.0012543384125938534,0.0016884705098112495,0.0028718303746273974,3.916927241250071e-05
t_subj.0,0.21871562320230878,0.0008858074224378498,0.21691105081615283,0.21814264993637994,0.21868593297033576,0.2192933409467993,0.22047068367937592,2.410493814406296e-05
t_subj.1,0.21861163676218265,0.0008750383814485983,0.21682078267527619,0.21807119765390465,0.21863024025787894,0.21917981287042604,0.2202790883056073,2.2583314201084926e-05
t_subj.2,0.21981829913296205,0.0010555837154497128,0.21802773564619402,0.21903418879432845,0.21976376770391987,0.22057654504309407,0.2219520355521764,4.95019657582953e-05
