SubjectUID,DesignCell,P,T_ms,W_ms,Matching,Identity,RT_ms,n_rt
group2_3,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,559.6887242427329,33
group2_3,P0_T30_W600,0,30.0,600.0,NonMatching,Self,558.3618656260114,32
group2_3,P0_T30_W600,0,30.0,600.0,Matching,Stranger,557.5812363650501,11
group2_3,P0_T30_W600,0,30.0,600.0,Matching,Self,526.111640506925,79
group2_4,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,366.29882499983063,8
group2_4,P0_T30_W600,0,30.0,600.0,NonMatching,Self,461.8828125057916,16
group2_4,P0_T30_W600,0,30.0,600.0,Matching,Stranger,431.37386363973326,11
group2_4,P0_T30_W600,0,30.0,600.0,Matching,Self,436.92417499551084,8
group2_5,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,409.4993974984391,40
group2_5,P0_T30_W600,0,30.0,600.0,NonMatching,Self,385.0502000000673,31
group2_5,P0_T30_W600,0,30.0,600.0,Matching,Stranger,368.2819557669482,52
group2_5,P0_T30_W600,0,30.0,600.0,Matching,Self,394.99125555425593,63
group2_6,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,583.6734500002682,14
group2_6,P0_T30_W600,0,30.0,600.0,NonMatching,Self,524.7908915285518,59
group2_6,P0_T30_W600,0,30.0,600.0,Matching,Stranger,562.2214099984072,30
group2_6,P0_T30_W600,0,30.0,600.0,Matching,Self,556.3824000003349,28
group2_7,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,249.3448083332624,36
group2_7,P0_T30_W600,0,30.0,600.0,NonMatching,Self,256.78899354815877,31
group2_7,P0_T30_W600,0,30.0,600.0,Matching,Stranger,255.76798039244255,51
group2_7,P0_T30_W600,0,30.0,600.0,Matching,Self,271.5436253961848,63
group2_8,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,502.2068500053139,10
group2_8,P0_T30_W600,0,30.0,600.0,NonMatching,Self,479.3185473628048,19
group2_8,P0_T30_W600,0,30.0,600.0,Matching,Stranger,538.8885249994928,16
group2_8,P0_T30_W600,0,30.0,600.0,Matching,Self,573.6244624995724,8
group2_9,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,522.7019027709807,72
group2_9,P0_T30_W600,0,30.0,600.0,NonMatching,Self,534.110847219482,72
group2_9,P0_T30_W600,0,30.0,600.0,Matching,Stranger,515.4871623229195,69
group2_9,P0_T30_W600,0,30.0,600.0,Matching,Self,495.2762241796386,91
group3_1,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,445.7505190539882,21
group3_1,P120_T30_W600,120,30.0,600.0,NonMatching,Self,461.0913333289014,15
group3_1,P120_T30_W600,120,30.0,600.0,Matching,Stranger,444.61062857263477,49
group3_1,P120_T30_W600,120,30.0,600.0,Matching,Self,437.37684721903247,72
group3_10,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,374.441710342894,29
group3_10,P120_T30_W600,120,30.0,600.0,NonMatching,Self,369.13223902797097,41
group3_10,P120_T30_W600,120,30.0,600.0,Matching,Stranger,358.4951788518363,52
group3_10,P120_T30_W600,120,30.0,600.0,Matching,Self,400.5450560944154,41
group3_12,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,363.9433461523296,39
group3_12,P120_T30_W600,120,30.0,600.0,NonMatching,Self,375.73260322689094,62
group3_12,P120_T30_W600,120,30.0,600.0,Matching,Stranger,377.6446408189703,49
group3_12,P120_T30_W600,120,30.0,600.0,Matching,Self,348.66290952500316,21
group3_2,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,467.77893888929117,36
group3_2,P120_T30_W600,120,30.0,600.0,NonMatching,Self,483.34202592579663,54
group3_2,P120_T30_W600,120,30.0,600.0,Matching,Stranger,507.2778446813166,47
group3_2,P120_T30_W600,120,30.0,600.0,Matching,Self,518.6952179481009,39
group3_3,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,259.8540249994888,60
group3_3,P120_T30_W600,120,30.0,600.0,NonMatching,Self,278.74707894768926,57
group3_3,P120_T30_W600,120,30.0,600.0,Matching,Stranger,274.25057611928366,67
group3_3,P120_T30_W600,120,30.0,600.0,Matching,Self,281.1738153847657,52
group3_4,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,494.57193409034517,44
group3_4,P120_T30_W600,120,30.0,600.0,NonMatching,Self,520.807241666383,60
group3_4,P120_T30_W600,120,30.0,600.0,Matching,Stranger,550.852320001577,25
group3_4,P120_T30_W600,120,30.0,600.0,Matching,Self,580.6439789486926,19
group3_5,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,294.7224941191391,51
group3_5,P120_T30_W600,120,30.0,600.0,NonMatching,Self,302.45581551721915,58
group3_5,P120_T30_W600,120,30.0,600.0,Matching,Stranger,292.3196196976333,66
group3_5,P120_T30_W600,120,30.0,600.0,Matching,Self,295.8121926475381,68
group3_6,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,485.8140666687785,15
group3_6,P120_T30_W600,120,30.0,600.0,NonMatching,Self,516.9891807706265,26
group3_6,P120_T30_W600,120,30.0,600.0,Matching,Stranger,480.11891666707635,12
group3_6,P120_T30_W600,120,30.0,600.0,Matching,Self,465.9863625010985,16
group3_7,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,429.56381538197786,13
group3_7,P120_T30_W600,120,30.0,600.0,NonMatching,Self,532.1515363651665,22
group3_7,P120_T30_W600,120,30.0,600.0,Matching,Stranger,431.0325799965841,15
group3_7,P120_T30_W600,120,30.0,600.0,Matching,Self,515.1694755551741,45
group3_8,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,378.6093290292493,31
group3_8,P120_T30_W600,120,30.0,600.0,NonMatching,Self,412.4275952379407,42
group3_8,P120_T30_W600,120,30.0,600.0,Matching,Stranger,349.8583119016119,42
group3_8,P120_T30_W600,120,30.0,600.0,Matching,Self,359.93006122531295,49
group4_1,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,504.56019032325486,62
group4_1,P120_T80_W600,120,80.0,600.0,NonMatching,Self,541.0358650787924,63
group4_1,P120_T80_W600,120,80.0,600.0,Matching,Stranger,512.28506849263,73
group4_1,P120_T80_W600,120,80.0,600.0,Matching,Self,495.7744527776715,72
group4_10,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,576.4551303582265,56
group4_10,P120_T80_W600,120,80.0,600.0,NonMatching,Self,573.6148523795973,84
group4_10,P120_T80_W600,120,80.0,600.0,Matching,Stranger,609.3478447337953,38
group4_10,P120_T80_W600,120,80.0,600.0,Matching,Self,604.1546270801822,48
group4_12,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,507.8275592532009,27
group4_12,P120_T80_W600,120,80.0,600.0,NonMatching,Self,550.7915867655196,68
group4_12,P120_T80_W600,120,80.0,600.0,Matching,Stranger,601.4896785657454,28
group4_12,P120_T80_W600,120,80.0,600.0,Matching,Self,619.3723151527317,33
group4_14,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,515.6729533333333,30
group4_14,P120_T80_W600,120,80.0,600.0,NonMatching,Self,490.82686333333334,30
group4_14,P120_T80_W600,120,80.0,600.0,Matching,Stranger,454.6442948275862,58
group4_14,P120_T80_W600,120,80.0,600.0,Matching,Self,498.9097242424242,66
group4_2,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,489.23178571567405,42
group4_2,P120_T80_W600,120,80.0,600.0,NonMatching,Self,450.9340752809887,89
group4_2,P120_T80_W600,120,80.0,600.0,Matching,Stranger,520.7039907691069,65
group4_2,P120_T80_W600,120,80.0,600.0,Matching,Self,509.3539644070207,59
group4_3,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,557.7929157891623,38
group4_3,P120_T80_W600,120,80.0,600.0,NonMatching,Self,619.6298060619456,33
group4_3,P120_T80_W600,120,80.0,600.0,Matching,Stranger,498.6675730777698,26
group4_3,P120_T80_W600,120,80.0,600.0,Matching,Self,528.2165178224286,101
group4_5,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,532.273028846528,104
group4_5,P120_T80_W600,120,80.0,600.0,NonMatching,Self,537.638057407161,108
group4_5,P120_T80_W600,120,80.0,600.0,Matching,Stranger,508.39927247733436,109
group4_5,P120_T80_W600,120,80.0,600.0,Matching,Self,465.1399887094862,124
group4_6,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,537.9367181793151,11
group4_6,P120_T80_W600,120,80.0,600.0,NonMatching,Self,593.3662060609398,33
group4_6,P120_T80_W600,120,80.0,600.0,Matching,Stranger,599.1174444465692,18
group4_6,P120_T80_W600,120,80.0,600.0,Matching,Self,597.8453260854027,23
group4_7,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,582.7737499999142,34
group4_7,P120_T80_W600,120,80.0,600.0,NonMatching,Self,605.5873435909281,39
group4_7,P120_T80_W600,120,80.0,600.0,Matching,Stranger,562.2411530612783,49
group4_7,P120_T80_W600,120,80.0,600.0,Matching,Self,510.29713551468154,107
group4_8,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,588.866070000222,40
group4_8,P120_T80_W600,120,80.0,600.0,NonMatching,Self,552.5472283963024,81
group4_8,P120_T80_W600,120,80.0,600.0,Matching,Stranger,602.9831310357811,29
group4_8,P120_T80_W600,120,80.0,600.0,Matching,Self,596.2828899995657,40
group4_9,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,427.81871714063794,35
