SubjectUID,DesignCell,P,T_ms,W_ms,Matching,Identity,ACC,n_trials,omission_rate
group2_2,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,0.046153846153846156,130,0.8615384615384616
group2_2,P0_T30_W600,0,30.0,600.0,NonMatching,Self,0.09230769230769231,130,0.8692307692307693
group2_2,P0_T30_W600,0,30.0,600.0,Matching,Stranger,0.03076923076923077,130,0.9307692307692308
group2_2,P0_T30_W600,0,30.0,600.0,Matching,Self,0.03076923076923077,130,0.8846153846153846
group2_3,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,0.25384615384615383,130,0.6
group2_3,P0_T30_W600,0,30.0,600.0,NonMatching,Self,0.24615384615384617,130,0.5384615384615384
group2_3,P0_T30_W600,0,30.0,600.0,Matching,Stranger,0.08461538461538462,130,0.4846153846153846
group2_3,P0_T30_W600,0,30.0,600.0,Matching,Self,0.6076923076923076,130,0.36153846153846153
group2_4,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,0.06153846153846154,130,0.8153846153846154
group2_4,P0_T30_W600,0,30.0,600.0,NonMatching,Self,0.12307692307692308,130,0.7923076923076923
group2_4,P0_T30_W600,0,30.0,600.0,Matching,Stranger,0.08461538461538462,130,0.8307692307692308
group2_4,P0_T30_W600,0,30.0,600.0,Matching,Self,0.06153846153846154,130,0.823076923076923
group2_5,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,0.3076923076923077,130,0.23076923076923078
group2_5,P0_T30_W600,0,30.0,600.0,NonMatching,Self,0.23846153846153847,130,0.3153846153846154
group2_5,P0_T30_W600,0,30.0,600.0,Matching,Stranger,0.4,130,0.2692307692307692
group2_5,P0_T30_W600,0,30.0,600.0,Matching,Self,0.4846153846153846,130,0.2076923076923077
group2_6,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,0.1076923076923077,130,0.7692307692307693
group2_6,P0_T30_W600,0,30.0,600.0,NonMatching,Self,0.45384615384615384,130,0.5076923076923077
group2_6,P0_T30_W600,0,30.0,600.0,Matching,Stranger,0.23076923076923078,130,0.6692307692307692
group2_6,P0_T30_W600,0,30.0,600.0,Matching,Self,0.2153846153846154,130,0.7461538461538462
group2_7,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,0.27692307692307694,130,0.2923076923076923
group2_7,P0_T30_W600,0,30.0,600.0,NonMatching,Self,0.23846153846153847,130,0.3384615384615385
group2_7,P0_T30_W600,0,30.0,600.0,Matching,Stranger,0.3923076923076923,130,0.33076923076923076
group2_7,P0_T30_W600,0,30.0,600.0,Matching,Self,0.4846153846153846,130,0.27692307692307694
group2_8,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,0.07692307692307693,130,0.7769230769230769
group2_8,P0_T30_W600,0,30.0,600.0,NonMatching,Self,0.14615384615384616,130,0.7692307692307693
group2_8,P0_T30_W600,0,30.0,600.0,Matching,Stranger,0.12307692307692308,130,0.7692307692307693
group2_8,P0_T30_W600,0,30.0,600.0,Matching,Self,0.06153846153846154,130,0.7384615384615385
group2_9,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,0.5538461538461539,130,0.2
group2_9,P0_T30_W600,0,30.0,600.0,NonMatching,Self,0.5538461538461539,130,0.25384615384615383
group2_9,P0_T30_W600,0,30.0,600.0,Matching,Stranger,0.5307692307692308,130,0.14615384615384616
group2_9,P0_T30_W600,0,30.0,600.0,Matching,Self,0.7,130,0.17692307692307693
group3_1,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.16153846153846155,130,0.3769230769230769
group3_1,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.11538461538461539,130,0.46153846153846156
group3_1,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.3769230769230769,130,0.4
group3_1,P120_T30_W600,120,30.0,600.0,Matching,Self,0.5538461538461539,130,0.34615384615384615
group3_10,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.2230769230769231,130,0.34615384615384615
group3_10,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.3153846153846154,130,0.36153846153846153
group3_10,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.4,130,0.3
group3_10,P120_T30_W600,120,30.0,600.0,Matching,Self,0.3153846153846154,130,0.3923076923076923
group3_12,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.3,130,0.25384615384615383
group3_12,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.47692307692307695,130,0.25384615384615383
group3_12,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.3769230769230769,130,0.26153846153846155
group3_12,P120_T30_W600,120,30.0,600.0,Matching,Self,0.16153846153846155,130,0.3230769230769231
group3_2,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.27692307692307694,130,0.34615384615384615
group3_2,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.4153846153846154,130,0.2923076923076923
group3_2,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.36153846153846153,130,0.3923076923076923
group3_2,P120_T30_W600,120,30.0,600.0,Matching,Self,0.3,130,0.4153846153846154
group3_3,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.46153846153846156,130,0.1076923076923077
group3_3,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.43846153846153846,130,0.18461538461538463
group3_3,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.5153846153846153,130,0.13846153846153847
group3_3,P120_T30_W600,120,30.0,600.0,Matching,Self,0.4,130,0.13846153846153847
group3_4,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.3384615384615385,130,0.4846153846153846
group3_4,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.46153846153846156,130,0.45384615384615384
group3_4,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.19230769230769232,130,0.6076923076923076
group3_4,P120_T30_W600,120,30.0,600.0,Matching,Self,0.14615384615384616,130,0.5384615384615384
group3_5,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.3923076923076923,130,0.007692307692307693
group3_5,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.4461538461538462,130,0.023076923076923078
group3_5,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.5076923076923077,130,0.007692307692307693
group3_5,P120_T30_W600,120,30.0,600.0,Matching,Self,0.5230769230769231,130,0.023076923076923078
group3_6,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.11538461538461539,130,0.7846153846153846
group3_6,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.2,130,0.7230769230769231
group3_6,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.09230769230769231,130,0.7307692307692307
group3_6,P120_T30_W600,120,30.0,600.0,Matching,Self,0.12307692307692308,130,0.7769230769230769
group3_7,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.1,130,0.7
group3_7,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.16923076923076924,130,0.6846153846153846
group3_7,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.11538461538461539,130,0.6923076923076923
group3_7,P120_T30_W600,120,30.0,600.0,Matching,Self,0.34615384615384615,130,0.6230769230769231
group3_8,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,0.23846153846153847,130,0.34615384615384615
group3_8,P120_T30_W600,120,30.0,600.0,NonMatching,Self,0.3230769230769231,130,0.3
group3_8,P120_T30_W600,120,30.0,600.0,Matching,Stranger,0.3230769230769231,130,0.3076923076923077
group3_8,P120_T30_W600,120,30.0,600.0,Matching,Self,0.3769230769230769,130,0.3076923076923077
group4_1,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,0.47692307692307695,130,0.38461538461538464
group4_1,P120_T80_W600,120,80.0,600.0,NonMatching,Self,0.4846153846153846,130,0.35384615384615387
group4_1,P120_T80_W600,120,80.0,600.0,Matching,Stranger,0.5615384615384615,130,0.24615384615384617
group4_1,P120_T80_W600,120,80.0,600.0,Matching,Self,0.5538461538461539,130,0.26153846153846155
group4_10,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,0.4307692307692308,130,0.5
group4_10,P120_T80_W600,120,80.0,600.0,NonMatching,Self,0.6461538461538462,130,0.33076923076923076
group4_10,P120_T80_W600,120,80.0,600.0,Matching,Stranger,0.2923076923076923,130,0.6230769230769231
group4_10,P120_T80_W600,120,80.0,600.0,Matching,Self,0.36923076923076925,130,0.5538461538461539
group4_12,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,0.2076923076923077,130,0.6307692307692307
group4_12,P120_T80_W600,120,80.0,600.0,NonMatching,Self,0.5230769230769231,130,0.43846153846153846
group4_12,P120_T80_W600,120,80.0,600.0,Matching,Stranger,0.2153846153846154,130,0.6076923076923076
group4_12,P120_T80_W600,120,80.0,600.0,Matching,Self,0.25384615384615383,130,0.4846153846153846
group4_14,P120_T80_W600,120,80.0,600.0,NonMatching,Stranger,0.23076923076923078,130,0.3230769230769231
group4_14,P120_T80_W600,120,80.0,600.0,NonMatching,Self,0.23076923076923078,130,0.3076923076923077
group4_14,P120_T80_W600,120,80.0,600.0,Matching,Stranger,0.4461538461538462,130,0.3076923076923077
