,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq
C(DesignCell),0.20712972924511397,7.0,1.488583594097485,0.18323268788641964,0.11524082442961324,0.11524082442961324
Residual,1.590234445042138,80.0,,,0.8847591755703867,
