n_subjects,v_noise,rep,rmse_v,r_v,rmse_a,r_a
20,0.2,0,1.212010938991332,0.9082863447014451,0.48631793555747976,0.7044942935882648
20,0.2,1,0.2012652392263521,0.9874381903838299,0.5221373428679487,0.7064202506762389
20,0.2,2,0.19690160539483983,0.9862041874932226,0.5142081045210792,0.5720511052626336
20,0.2,3,0.21087846096014248,0.9831851115508097,0.49799317732591264,0.2137523485594247
20,0.2,4,0.20431510815865125,0.9857242615215498,0.5219854057243443,0.4553715864558954
20,0.5,0,0.5209217355578084,0.9158943763006554,0.5013813028229916,0.73716621381878
20,0.5,1,0.5436696259964372,0.8957092270168596,0.5207640332184719,0.6443007359814898
20,0.5,2,0.5421713786930669,0.9141325624467179,0.5340412497809602,0.6907407189198882
20,0.5,3,0.5219898976960219,0.9116007338653997,0.5199347889049819,0.5512612760457124
20,0.5,4,0.5218322087828475,0.9215797965134239,0.5007660936454452,0.5706142624047023
20,1.0,0,0.9966361725913686,0.761619880609532,0.4972587648054105,0.7465801954482002
20,1.0,1,1.0304837658297459,0.7145705650957149,0.5131959620445269,0.6432513756326892
20,1.0,2,1.0158107046012637,0.777085208108423,0.5030709828195447,0.4012039601342253
20,1.0,3,1.0167509977078064,0.754552254317982,0.5317855920516913,0.684676076358739
20,1.0,4,1.0375183474340595,0.7906338208374033,0.5272064796569071,0.6262941733226494
20,2.0,0,1.928450389354162,0.5126201297334539,0.5165139637090125,0.6546644441241368
20,2.0,1,2.0281948030453805,0.4198967383176223,0.48934637113052004,0.7622444515717246
20,2.0,2,2.1938766122145754,0.48394145437859937,0.5028741662972505,0.6414189812332984
20,2.0,3,2.0070288139565635,0.510341371141737,0.4831932724084398,0.7091589228314243
20,2.0,4,2.1253089186308496,0.5033894198366922,0.510564028352462,0.6288521024018416
50,0.2,0,0.20050446933868882,0.9866136339614532,0.4824630569855958,0.6794956194665855
50,0.2,1,0.20256856434699635,0.9867145786584777,0.5407884280726554,0.6802933558938883
50,0.2,2,0.20018352502329767,0.9852609419111653,0.5177885033967226,0.5579345840526232
50,0.2,3,0.20935235582261072,0.9849045738251969,0.5098268431602598,0.36098804964121484
50,0.2,4,0.1946761025134549,0.9873953561802784,0.4912012888748667,0.6821713889756476
50,0.5,0,0.5133836574925658,0.9243123223044071,0.5122244981755791,0.6993227381199608
50,0.5,1,0.5035063798221304,0.919787070229782,0.5292012048870953,0.5788922967297084
50,0.5,2,0.5166101248892473,0.9159184318127107,0.5243288652040621,0.686418048921382
50,0.5,3,0.4911067743339302,0.9223837406905933,0.5129272880885951,0.6644398667842221
50,0.5,4,0.5187919963425636,0.9225558177368818,0.49868455084959784,0.4292765990256205
50,1.0,0,0.981304337614675,0.7640491113599776,0.5008215208237825,0.6845335119911226
50,1.0,1,1.0373598369604222,0.7498189574490907,0.5005874040679966,0.5475457509268424
50,1.0,2,1.0530935777216057,0.7525423798994565,0.5111187595732462,0.6029658290675687
50,1.0,3,1.0074260615006236,0.7566313723606951,0.5027288288676524,0.6263355427814637
50,1.0,4,0.9796717628365748,0.7538221959231082,0.4731072307075186,0.6727827052400931
50,2.0,0,2.094573607279745,0.5045700750150696,0.512901868356422,0.4792705356493518
50,2.0,1,1.9329189781924863,0.4520363455567313,0.5142752135873904,0.7203212419202671
50,2.0,2,2.0551226345440994,0.43695277784448605,0.5241532578973447,0.5014607658983402
50,2.0,3,2.0195667209508126,0.5062853598740404,0.5117477928490402,0.637110763830634
50,2.0,4,2.0946139547787856,0.4571607971878507,0.48291172325724313,0.6603738410667934
100,0.2,0,0.20004375808465252,0.9861378855437912,0.4895960518923864,0.6902901345379671
100,0.2,1,0.20134395028042928,0.9871203733617169,0.4911358497597506,0.7338890885027363
100,0.2,2,0.20465282228340695,0.9850405958092693,0.5020246850369758,0.6182962077335203
100,0.2,3,0.20206508139585552,0.9860379442869284,0.5100614468562866,0.5446503710738483
100,0.2,4,0.19534245379958684,0.9873310353516105,0.49371406075508,0.6890596839083281
100,0.5,0,0.5278459714181211,0.9221928575249974,0.497176640563847,0.7006818683732607
100,0.5,1,0.5144832118461894,0.9169114593236932,0.5019592294537985,0.632556458653269
100,0.5,2,0.5136837626787026,0.9166945630186816,0.5087784467872881,0.6939148692238756
100,0.5,3,0.4984904573592458,0.9260357051443519,0.500743810683871,0.6700122980166346
100,0.5,4,0.4945996091804579,0.9246011419697687,0.49871885378097025,0.5742621355115372
100,1.0,0,0.9967596508468828,0.7525570851616185,0.498530830663393,0.6527051439937416
100,1.0,1,1.0139761676617642,0.7514325746409791,0.5021596905104704,0.6385031410847672
100,1.0,2,1.026509919658779,0.7392106668804415,0.5119335067904529,0.6484643710848805
100,1.0,3,1.0320305086949577,0.7528863776711522,0.514557267239506,0.5894212585387879
100,1.0,4,1.0293977941017698,0.7225703118382445,0.48584376178528954,0.7542488613033604
100,2.0,0,2.0965153146686704,0.44534480997131287,0.5144329355034785,0.5145062733919598
100,2.0,1,2.0506290094976873,0.49613841379901,0.5048114851056508,0.6585440816959339
100,2.0,2,2.0110403348540493,0.47412851557127533,0.49782382613492915,0.5842190002290402
100,2.0,3,1.9945113343159635,0.4687878659953638,0.49869188045696755,0.6619408008645804
100,2.0,4,2.0303761996772822,0.4686177616498286,0.5195052344071333,0.5595027053655631
