subj_idx,rt,response,identity
0,0.472947200003546,1,0
0,0.425164999964181,1,1
0,0.490272199967876,0,1
0,0.444263699988369,1,1
0,0.507860100013204,1,0
0,0.379523700044956,1,0
0,0.36401699995622,1,1
0,0.41309479996562,1,0
0,0.459755800024141,1,1
0,0.395679299952462,1,1
0,0.233374999952503,1,0
0,0.233686099993065,1,1
0,0.380820499965921,0,0
0,0.524523700005375,1,0
0,0.587795300001744,0,1
0,0.348488599993289,0,1
0,0.367351799970493,1,1
0,0.427983599947765,1,0
0,0.383682600047905,1,0
0,0.42466429999331,1,1
0,0.60559849999845,1,0
0,0.619339899974875,1,0
0,0.395587599952705,1,1
0,0.412748000002466,1,0
0,0.283765500003938,1,1
0,0.358099200006109,0,0
0,0.240119600028265,1,0
0,0.257583300000988,1,1
0,0.43338889995357,1,0
0,0.571766900015064,1,0
0,0.524511399969924,0,1
0,0.361799600010272,1,1
0,0.586614399973769,1,0
0,0.602382900018711,1,1
0,0.618712899973616,1,0
0,0.572835099999793,1,0
0,0.588495499978308,1,1
0,0.542098100006115,0,1
0,0.522477799968328,0,0
0,0.571823099977337,1,1
0,0.377948399982415,1,1
0,0.38288609997835,1,1
0,0.539688599994406,1,0
0,0.314583900035359,1,0
0,0.587653799972031,1,1
0,0.512341200024821,1,1
0,0.492064099991694,1,1
0,0.571449799987022,0,0
0,0.36589020001702,1,1
0,0.537643900024705,1,1
0,0.523636400001124,0,0
0,0.522694699990097,1,1
0,0.417340699990746,1,0
0,0.621384900005069,0,0
0,0.587169099948369,0,0
0,0.508977700024843,1,1
0,0.490252599993255,1,1
0,0.54760879999958,1,1
0,0.506607200019062,1,0
0,0.539532000024337,0,1
0,0.292017599975225,1,0
0,0.301655300019775,1,1
0,0.464234600018244,1,1
0,0.619865700020455,1,1
0,0.586061300011352,1,1
0,0.622207999986131,1,1
0,0.571770600043237,1,0
0,0.490264700027183,1,0
0,0.555887199996505,1,1
0,0.541221400024369,1,1
0,0.555537000007462,1,1
0,0.430748499988113,1,1
0,0.39257979998365,0,0
0,0.586423399974592,1,1
0,0.586221900011878,0,0
0,0.233010799973272,0,0
0,0.358445600024424,1,1
0,0.254329500021413,1,0
0,0.266472599992994,1,1
0,0.586292500025593,0,0
0,0.558594200003427,1,0
0,0.585900800011586,1,1
0,0.489946399990004,1,0
0,0.555449199979194,1,1
0,0.393722800014075,0,0
0,0.61727200000314,1,1
0,0.346664799959399,0,1
0,0.427267400023993,1,0
0,0.283771799993701,1,1
0,0.506449499982409,0,0
0,0.553635100019164,0,0
0,0.393133200006559,1,1
0,0.522752100019716,1,0
0,0.252576900005806,0,1
0,0.28455149999354,0,1
0,0.619620999961626,1,0
0,0.285509199951775,1,0
0,0.312978499976452,0,1
0,0.24887630000012,0,0
0,0.235344199987594,1,1
0,0.458714600012172,1,0
0,0.476809000014327,1,1
0,0.235129999986384,1,0
0,0.409262600005604,1,1
0,0.394013300014194,1,1
0,0.505081500043161,0,0
0,0.555525399977341,1,0
0,0.394105000013951,0,1
0,0.505958300025668,1,0
0,0.457154400006402,1,1
0,0.504598000028636,0,0
0,0.505068400001619,0,0
0,0.490169299999252,1,1
0,0.47473420004826,1,0
0,0.535279000003356,1,1
0,0.409943999955431,1,1
0,0.520935700042173,0,0
0,0.28169999999227,1,1
0,0.298350700002629,0,0
0,0.235211699968204,1,1
0,0.474518599978182,0,0
0,0.394403999962378,1,0
0,0.42820170003688,0,1
0,0.313258600013796,1,0
0,0.315138800011482,0,0
0,0.441946899984032,1,1
0,0.458237199985888,1,1
0,0.457274800050072,1,0
0,0.441053299990017,1,0
0,0.457111799973063,1,1
0,0.490141600021161,0,0
0,0.505454200028908,1,1
0,0.551409200008493,1,1
0,0.489353800017852,0,0
0,0.328702199971303,0,1
0,0.457673800003249,1,0
0,0.458060699980706,1,0
0,0.443206900032237,1,0
0,0.250426199985668,1,1
0,0.394251200021245,0,0
0,0.25098460004665,0,0
0,0.44176710001193,1,1
0,0.396196099987719,1,0
0,0.266382100002375,1,1
0,0.345594500016887,1,1
0,0.430470600025728,1,1
0,0.616452099988237,1,0
0,0.28200820001075,0,0
0,0.36234550003428,1,1
0,0.50499749998562,0,0
0,0.552793600014411,1,0
0,0.442232600005809,1,1
0,0.443593699950725,1,1
0,0.488234499993268,1,1
0,0.473988999961875,0,0
0,0.50635699997656,1,1
0,0.311657099984586,1,1
0,0.266091800003778,1,1
0,0.249399300024379,1,0
0,0.248561900050845,1,0
0,0.233921299979556,1,1
0,0.233115199953318,1,0
0,0.536742600030266,1,1
8,0.620902800001204,1,0
8,0.475228799972683,0,0
8,0.459604999981821,1,1
8,0.316441399976611,1,1
8,0.347450900007971,0,0
8,0.233736099966336,0,1
8,0.364062100008596,0,0
8,0.444505400024354,1,0
8,0.492345000035129,1,1
8,0.233606299967505,0,0
8,0.483730600040872,0,1
8,0.233566000009887,1,1
8,0.37724119995255,0,0
8,0.234835700015537,0,1
8,0.272991600038949,1,1
8,0.300538299954496,0,0
8,0.23353839997435,1,0
8,0.25949159997981,0,1
8,0.252604599983897,1,0
8,0.23473520000698,0,1
8,0.319241699995473,1,1
8,0.588170300005004,1,0
8,0.509188099997118,1,0
8,0.233468999969773,0,0
8,0.233954199997243,1,0
8,0.248381299956236,0,1
8,0.233165099984035,0,1
8,0.355197300028522,0,0
8,0.571103300026152,1,0
8,0.235282599984203,1,1
8,0.233334499993362,0,0
8,0.234497900004499,1,1
8,0.233943700033706,0,1
8,0.249767599976622,0,0
8,0.233605599962175,0,1
8,0.603880899958313,1,1
8,0.571548799984157,0,1
8,0.522109200013801,0,0
8,0.233468299964443,0,1
8,0.429754299984779,0,0
8,0.328246299992315,1,1
8,0.31520760001149,1,0
8,0.233365399995819,0,0
8,0.234085999953095,0,1
8,0.568058599950746,0,1
8,0.424375500006136,1,1
8,0.395526300009806,1,0
8,0.234593599976506,1,0
8,0.539958400011528,1,1
8,0.474665699992329,1,0
8,0.381288500037044,0,1
8,0.443697699985933,0,0
8,0.58783490001224,1,1
8,0.233167200000025,1,1
8,0.586541500000749,0,1
8,0.589411499968264,0,0
8,0.448965399991721,1,1
8,0.587495699990541,1,1
8,0.491024500050116,1,1
8,0.233221400005277,0,0
8,0.35261729999911,0,1
8,0.33159820002038,0,0
8,0.234216800017748,0,0
8,0.251214699994307,1,0
8,0.234058799978811,0,1
8,0.265651700028684,0,0
8,0.346983000054024,1,1
8,0.234536000003573,1,0
8,0.363421400019433,1,1
8,0.235216800007038,1,0
8,0.44402659998741,1,1
8,0.313796799979173,0,0
8,0.251203400024679,0,1
8,0.377976900024805,0,0
8,0.23577839997597,0,1
8,0.522739399981219,0,0
8,0.442498699994758,0,1
8,0.474418999976479,0,0
8,0.265768299985211,0,0
8,0.314906299987342,1,1
8,0.458692600019276,0,0
8,0.410941899986938,0,1
8,0.527735400013626,1,0
8,0.234420399996452,0,1
8,0.234160699998029,0,0
8,0.378591899992898,0,1
8,0.507444000046235,0,0
8,0.567620299989358,1,1
8,0.234104900038801,0,1
8,0.571104099974036,0,0
8,0.555380000034347,1,1
8,0.267816999985371,1,1
8,0.409131799999159,1,1
8,0.586547299986705,0,0
8,0.233427900006063,1,1
8,0.256439899967518,0,0
8,0.233515999978408,1,1
8,0.235467899998184,0,1
8,0.337825499998871,0,0
8,0.252638900012244,0,1
8,0.312563799961936,0,0
8,0.516324399970472,0,0
8,0.443102399993222,0,1
8,0.569839200004935,0,0
8,0.333467199990992,1,0
8,0.23404779995326,0,1
8,0.298740500002168,1,1
8,0.300689099996816,0,0
8,0.233891699986998,0,0
8,0.296397700032685,1,1
8,0.23489670001436,1,0
8,0.523164300015196,1,1
8,0.234777400037274,0,0
8,0.233221500006039,0,1
8,0.427659200038761,1,0
8,0.34589739999501,1,1
8,0.234453799959738,1,1
8,0.441201999958139,1,0
8,0.267005499976221,0,0
8,0.23558179999236,1,1
8,0.23342629999388,0,1
8,0.233444400015287,0,0
8,0.233910700015258,0,1
8,0.253370899998117,0,0
8,0.553840799955651,1,1
8,0.553793200000655,1,0
8,0.250306700007059,1,1
8,0.618454199982807,0,0
8,0.249362599977758,1,0
8,0.329329300031532,1,1
8,0.234339800023008,1,1
8,0.258803399978206,1,0
8,0.23347570002079,0,0
8,0.329205300018657,0,1
8,0.233449699997436,1,0
8,0.233638700039592,0,0
8,0.234250900044572,1,1
8,0.377296000020579,0,1
8,0.34616170002846,0,0
8,0.440935200022068,0,1
8,0.25053979997756,0,0
8,0.264996899990365,0,0
8,0.520673100021668,0,1
8,0.505006199993659,0,0
8,0.58983370003989,0,1
8,0.425336199987214,0,0
8,0.378326300007757,0,1
8,0.233757200010587,0,1
8,0.263142300012987,0,0
8,0.234250000037719,0,0
8,0.37678859999869,0,1
8,0.376544900005683,0,0
8,0.270439899992198,0,0
8,0.456891499983612,0,1
8,0.233490800019354,1,0
8,0.233551300014369,0,0
8,0.233157800044864,0,1
8,0.297860199993011,1,0
8,0.473180899978615,0,0
8,0.313821599993389,1,1
8,0.298020899994299,1,1
8,0.249455600045621,0,0
8,0.457848199992441,1,0
8,0.441126000019722,1,1
8,0.233665700012352,0,0
8,0.569366100011393,1,0
8,0.479697600007057,0,1
8,0.444947099953424,1,0
9,0.435721100016963,0,1
9,0.391411999997217,0,1
9,0.344275699986611,1,0
9,0.280206099967472,1,1
9,0.442482900049072,0,0
9,0.345441999961622,0,0
9,0.298452700022608,0,1
9,0.472866600030102,1,1
9,0.488356399990153,0,0
9,0.314044899947476,1,1
9,0.505396399996243,0,0
9,0.329139700043015,0,0
9,0.36110879998887,1,1
9,0.281655700004194,0,1
9,0.393698999949265,1,0
9,0.503449799958616,0,0
9,0.44218810001621,1,1
9,0.314166199997999,0,0
9,0.344528499990702,1,1
9,0.392920700018294,1,1
9,0.377459899988025,0,0
9,0.282669399981387,0,0
9,0.409263900015503,0,1
9,0.49024809995899,1,0
9,0.488800999999512,0,1
9,0.462414800014812,1,0
9,0.456786399998236,1,1
9,0.378230399976019,1,1
9,0.2797587,1,0
9,0.361484099994414,1,1
9,0.313014500017744,0,0
9,0.37746899999911,1,1
9,0.297095099987928,0,0
9,0.280020200007129,0,1
9,0.313617500010878,1,0
9,0.361964299983811,0,0
9,0.441222599998582,1,1
9,0.361924700031523,0,0
9,0.393906600016635,1,1
9,0.328909099975135,1,0
9,0.314159800007474,0,1
9,0.312907600018661,0,1
9,0.42552990000695,0,0
9,0.232919799978845,1,1
9,0.265496500011068,0,0
9,0.297677399998065,0,0
9,0.233599599974696,1,1
9,0.279742999991868,0,1
9,0.313516299996991,0,0
9,0.392537200008519,0,0
9,0.295910199987702,1,1
9,0.235463500022888,1,0
9,0.262891400023364,1,1
9,0.234679799992591,0,1
