P,T,W,label,real_rt_mean,real_acc,n_trials,pure_rt_pred,hybrid_rt_pred,pure_rmse,hybrid_rmse,improvement
0,30,300,self,0.2605494346861066,0.4833948339483395,542,0.03835479379681021,0.9989009312009102,0.22219464088929636,0.7383514965148036,-0.5161568556255072
0,30,300,stranger,0.2581553286295212,0.5089463220675944,503,0.33286750241492435,0.23973622348821844,0.07471217378540318,0.01841910514130274,0.05629306864410044
0,30,600,self,0.41308962604786864,0.5887600356824264,1121,0.7440669716480952,0.9989009312009102,0.33097734560022657,0.5858113051530416,-0.254833959552815
0,30,600,stranger,0.40603987320574,0.5062200956937799,1045,2.5979232979632987,0.23973622348821844,2.1918834247575587,0.16630364971752154,2.025579775040037
120,30,600,self,0.3633129682969657,0.5228426395939086,2167,0.33305302127931785,2.4810801038864447,0.030259947017647837,2.117767135589479,-2.087507188571831
120,30,600,stranger,0.3629741889960728,0.48020257826887663,2172,0.8329243768742448,0.5954592249327467,0.469950187878172,0.2324850359366739,0.2374651519414981
120,500,1500,self,0.9255152039233295,0.9248670212765957,1504,0.2809874491753032,7.342872479792993,0.6445277547480264,6.417357275869663,-5.772829521121636
120,500,1500,stranger,1.015522246873115,0.8946675444371297,1519,0.7109051417687201,1.762289395150318,0.304617105104395,0.7467671482772029,-0.4421500431728079
