P,T,W,M,condition_id
1,80,300,380,P1_T80_W300
1,80,400,480,P1_T80_W400
1,80,500,580,P1_T80_W500
1,80,600,680,P1_T80_W600
1,80,800,880,P1_T80_W800
1,80,1000,1080,P1_T80_W1000
1,80,1200,1280,P1_T80_W1200
1,80,1500,1580,P1_T80_W1500
1,100,200,300,P1_T100_W200
1,100,300,400,P1_T100_W300
1,100,400,500,P1_T100_W400
1,100,500,600,P1_T100_W500
1,100,600,700,P1_T100_W600
1,100,800,900,P1_T100_W800
1,100,1000,1100,P1_T100_W1000
1,100,1200,1300,P1_T100_W1200
1,100,1500,1600,P1_T100_W1500
1,150,200,350,P1_T150_W200
1,150,300,450,P1_T150_W300
1,150,400,550,P1_T150_W400
1,150,500,650,P1_T150_W500
1,150,600,750,P1_T150_W600
1,150,800,950,P1_T150_W800
1,150,1000,1150,P1_T150_W1000
1,150,1200,1350,P1_T150_W1200
1,150,1500,1650,P1_T150_W1500
1,200,200,400,P1_T200_W200
1,200,300,500,P1_T200_W300
1,200,400,600,P1_T200_W400
1,200,500,700,P1_T200_W500
1,200,600,800,P1_T200_W600
1,200,800,1000,P1_T200_W800
1,200,1000,1200,P1_T200_W1000
1,200,1200,1400,P1_T200_W1200
1,200,1500,1700,P1_T200_W1500
1,280,200,480,P1_T280_W200
1,280,300,580,P1_T280_W300
1,280,400,680,P1_T280_W400
1,280,500,780,P1_T280_W500
1,280,600,880,P1_T280_W600
1,280,800,1080,P1_T280_W800
1,280,1000,1280,P1_T280_W1000
1,280,1200,1480,P1_T280_W1200
1,280,1500,1780,P1_T280_W1500
1,350,200,550,P1_T350_W200
1,350,300,650,P1_T350_W300
1,350,400,750,P1_T350_W400
1,350,500,850,P1_T350_W500
1,350,600,950,P1_T350_W600
1,350,800,1150,P1_T350_W800
1,350,1000,1350,P1_T350_W1000
1,350,1200,1550,P1_T350_W1200
1,350,1500,1850,P1_T350_W1500
1,420,200,620,P1_T420_W200
1,420,300,720,P1_T420_W300
1,420,400,820,P1_T420_W400
1,420,500,920,P1_T420_W500
1,420,600,1020,P1_T420_W600
1,420,800,1220,P1_T420_W800
1,420,1000,1420,P1_T420_W1000
1,420,1200,1620,P1_T420_W1200
1,420,1500,1920,P1_T420_W1500
1,500,200,700,P1_T500_W200
1,500,300,800,P1_T500_W300
1,500,400,900,P1_T500_W400
1,500,500,1000,P1_T500_W500
1,500,600,1100,P1_T500_W600
1,500,800,1300,P1_T500_W800
1,500,1000,1500,P1_T500_W1000
1,500,1200,1700,P1_T500_W1200
1,500,1500,2000,P1_T500_W1500
1,600,200,800,P1_T600_W200
1,600,300,900,P1_T600_W300
1,600,400,1000,P1_T600_W400
1,600,500,1100,P1_T600_W500
1,600,600,1200,P1_T600_W600
1,600,800,1400,P1_T600_W800
1,600,1000,1600,P1_T600_W1000
1,600,1200,1800,P1_T600_W1200
1,600,1500,2100,P1_T600_W1500
2,10,200,210,P2_T10_W200
2,10,300,310,P2_T10_W300
2,10,400,410,P2_T10_W400
2,10,500,510,P2_T10_W500
2,10,600,610,P2_T10_W600
2,10,800,810,P2_T10_W800
2,10,1000,1010,P2_T10_W1000
2,10,1200,1210,P2_T10_W1200
2,10,1500,1510,P2_T10_W1500
2,20,200,220,P2_T20_W200
2,20,300,320,P2_T20_W300
2,20,400,420,P2_T20_W400
2,20,500,520,P2_T20_W500
2,20,600,620,P2_T20_W600
2,20,800,820,P2_T20_W800
2,20,1000,1020,P2_T20_W1000
2,20,1200,1220,P2_T20_W1200
2,20,1500,1520,P2_T20_W1500
2,30,200,230,P2_T30_W200
2,30,300,330,P2_T30_W300
2,30,400,430,P2_T30_W400
2,30,500,530,P2_T30_W500
2,30,600,630,P2_T30_W600
2,30,800,830,P2_T30_W800
2,30,1000,1030,P2_T30_W1000
2,30,1200,1230,P2_T30_W1200
2,30,1500,1530,P2_T30_W1500
2,50,200,250,P2_T50_W200
2,50,300,350,P2_T50_W300
2,50,400,450,P2_T50_W400
2,50,500,550,P2_T50_W500
2,50,600,650,P2_T50_W600
2,50,800,850,P2_T50_W800
2,50,1000,1050,P2_T50_W1000
2,50,1200,1250,P2_T50_W1200
2,50,1500,1550,P2_T50_W1500
2,80,200,280,P2_T80_W200
2,80,300,380,P2_T80_W300
2,80,400,480,P2_T80_W400
2,80,500,580,P2_T80_W500
2,80,600,680,P2_T80_W600
2,80,800,880,P2_T80_W800
2,80,1000,1080,P2_T80_W1000
2,80,1200,1280,P2_T80_W1200
2,80,1500,1580,P2_T80_W1500
2,100,200,300,P2_T100_W200
2,100,300,400,P2_T100_W300
2,100,400,500,P2_T100_W400
2,100,500,600,P2_T100_W500
2,100,600,700,P2_T100_W600
2,100,800,900,P2_T100_W800
2,100,1000,1100,P2_T100_W1000
2,100,1200,1300,P2_T100_W1200
2,100,1500,1600,P2_T100_W1500
2,150,200,350,P2_T150_W200
2,150,300,450,P2_T150_W300
2,150,400,550,P2_T150_W400
2,150,500,650,P2_T150_W500
2,150,600,750,P2_T150_W600
2,150,800,950,P2_T150_W800
2,150,1000,1150,P2_T150_W1000
2,150,1200,1350,P2_T150_W1200
