P,T,W,M,condition_id
16,200,1000,1200,P16_T200_W1000
16,200,1200,1400,P16_T200_W1200
16,200,1500,1700,P16_T200_W1500
16,280,200,480,P16_T280_W200
16,280,300,580,P16_T280_W300
16,280,400,680,P16_T280_W400
16,280,500,780,P16_T280_W500
16,280,600,880,P16_T280_W600
16,280,800,1080,P16_T280_W800
16,280,1000,1280,P16_T280_W1000
16,280,1200,1480,P16_T280_W1200
16,280,1500,1780,P16_T280_W1500
16,350,200,550,P16_T350_W200
16,350,300,650,P16_T350_W300
16,350,400,750,P16_T350_W400
16,350,500,850,P16_T350_W500
16,350,600,950,P16_T350_W600
16,350,800,1150,P16_T350_W800
16,350,1000,1350,P16_T350_W1000
16,350,1200,1550,P16_T350_W1200
16,350,1500,1850,P16_T350_W1500
16,420,200,620,P16_T420_W200
16,420,300,720,P16_T420_W300
16,420,400,820,P16_T420_W400
16,420,500,920,P16_T420_W500
16,420,600,1020,P16_T420_W600
16,420,800,1220,P16_T420_W800
16,420,1000,1420,P16_T420_W1000
16,420,1200,1620,P16_T420_W1200
16,420,1500,1920,P16_T420_W1500
16,500,200,700,P16_T500_W200
16,500,300,800,P16_T500_W300
16,500,400,900,P16_T500_W400
16,500,500,1000,P16_T500_W500
16,500,600,1100,P16_T500_W600
16,500,800,1300,P16_T500_W800
16,500,1000,1500,P16_T500_W1000
16,500,1200,1700,P16_T500_W1200
16,500,1500,2000,P16_T500_W1500
16,600,200,800,P16_T600_W200
16,600,300,900,P16_T600_W300
16,600,400,1000,P16_T600_W400
16,600,500,1100,P16_T600_W500
16,600,600,1200,P16_T600_W600
16,600,800,1400,P16_T600_W800
16,600,1000,1600,P16_T600_W1000
16,600,1200,1800,P16_T600_W1200
16,600,1500,2100,P16_T600_W1500
24,10,200,210,P24_T10_W200
24,10,300,310,P24_T10_W300
24,10,400,410,P24_T10_W400
24,10,500,510,P24_T10_W500
24,10,600,610,P24_T10_W600
24,10,800,810,P24_T10_W800
24,10,1000,1010,P24_T10_W1000
24,10,1200,1210,P24_T10_W1200
24,10,1500,1510,P24_T10_W1500
24,20,200,220,P24_T20_W200
24,20,300,320,P24_T20_W300
24,20,400,420,P24_T20_W400
24,20,500,520,P24_T20_W500
24,20,600,620,P24_T20_W600
24,20,800,820,P24_T20_W800
24,20,1000,1020,P24_T20_W1000
24,20,1200,1220,P24_T20_W1200
24,20,1500,1520,P24_T20_W1500
24,30,200,230,P24_T30_W200
24,30,300,330,P24_T30_W300
24,30,400,430,P24_T30_W400
24,30,500,530,P24_T30_W500
24,30,600,630,P24_T30_W600
24,30,800,830,P24_T30_W800
24,30,1000,1030,P24_T30_W1000
24,30,1200,1230,P24_T30_W1200
24,30,1500,1530,P24_T30_W1500
24,50,200,250,P24_T50_W200
24,50,300,350,P24_T50_W300
24,50,400,450,P24_T50_W400
24,50,500,550,P24_T50_W500
24,50,600,650,P24_T50_W600
24,50,800,850,P24_T50_W800
24,50,1000,1050,P24_T50_W1000
24,50,1200,1250,P24_T50_W1200
24,50,1500,1550,P24_T50_W1500
24,80,200,280,P24_T80_W200
24,80,300,380,P24_T80_W300
24,80,400,480,P24_T80_W400
24,80,500,580,P24_T80_W500
24,80,600,680,P24_T80_W600
24,80,800,880,P24_T80_W800
24,80,1000,1080,P24_T80_W1000
24,80,1200,1280,P24_T80_W1200
24,80,1500,1580,P24_T80_W1500
24,100,200,300,P24_T100_W200
24,100,300,400,P24_T100_W300
24,100,400,500,P24_T100_W400
24,100,500,600,P24_T100_W500
24,100,600,700,P24_T100_W600
24,100,800,900,P24_T100_W800
24,100,1000,1100,P24_T100_W1000
24,100,1200,1300,P24_T100_W1200
24,100,1500,1600,P24_T100_W1500
24,150,200,350,P24_T150_W200
24,150,300,450,P24_T150_W300
24,150,400,550,P24_T150_W400
24,150,500,650,P24_T150_W500
24,150,600,750,P24_T150_W600
24,150,800,950,P24_T150_W800
24,150,1000,1150,P24_T150_W1000
24,150,1200,1350,P24_T150_W1200
24,150,1500,1650,P24_T150_W1500
24,200,200,400,P24_T200_W200
24,200,300,500,P24_T200_W300
24,200,400,600,P24_T200_W400
24,200,500,700,P24_T200_W500
24,200,600,800,P24_T200_W600
24,200,800,1000,P24_T200_W800
24,200,1000,1200,P24_T200_W1000
24,200,1200,1400,P24_T200_W1200
24,200,1500,1700,P24_T200_W1500
24,280,200,480,P24_T280_W200
24,280,300,580,P24_T280_W300
24,280,400,680,P24_T280_W400
24,280,500,780,P24_T280_W500
24,280,600,880,P24_T280_W600
24,280,800,1080,P24_T280_W800
24,280,1000,1280,P24_T280_W1000
24,280,1200,1480,P24_T280_W1200
24,280,1500,1780,P24_T280_W1500
24,350,200,550,P24_T350_W200
24,350,300,650,P24_T350_W300
24,350,400,750,P24_T350_W400
24,350,500,850,P24_T350_W500
24,350,600,950,P24_T350_W600
24,350,800,1150,P24_T350_W800
24,350,1000,1350,P24_T350_W1000
24,350,1200,1550,P24_T350_W1200
24,350,1500,1850,P24_T350_W1500
24,420,200,620,P24_T420_W200
24,420,300,720,P24_T420_W300
24,420,400,820,P24_T420_W400
24,420,500,920,P24_T420_W500
24,420,600,1020,P24_T420_W600
24,420,800,1220,P24_T420_W800
24,420,1000,1420,P24_T420_W1000
24,420,1200,1620,P24_T420_W1200
24,420,1500,1920,P24_T420_W1500
24,500,200,700,P24_T500_W200
24,500,300,800,P24_T500_W300
24,500,400,900,P24_T500_W400
24,500,500,1000,P24_T500_W500
24,500,600,1100,P24_T500_W600
24,500,800,1300,P24_T500_W800
24,500,1000,1500,P24_T500_W1000
24,500,1200,1700,P24_T500_W1200
24,500,1500,2000,P24_T500_W1500
24,600,200,800,P24_T600_W200
24,600,300,900,P24_T600_W300
24,600,400,1000,P24_T600_W400
24,600,500,1100,P24_T600_W500
24,600,600,1200,P24_T600_W600
24,600,800,1400,P24_T600_W800
24,600,1000,1600,P24_T600_W1000
24,600,1200,1800,P24_T600_W1200
24,600,1500,2100,P24_T600_W1500
32,10,200,210,P32_T10_W200
32,10,300,310,P32_T10_W300
32,10,400,410,P32_T10_W400
32,10,500,510,P32_T10_W500
32,10,600,610,P32_T10_W600
32,10,800,810,P32_T10_W800
32,10,1000,1010,P32_T10_W1000
32,10,1200,1210,P32_T10_W1200
32,10,1500,1510,P32_T10_W1500
32,20,200,220,P32_T20_W200
32,20,300,320,P32_T20_W300
32,20,400,420,P32_T20_W400
32,20,500,520,P32_T20_W500
32,20,600,620,P32_T20_W600
32,20,800,820,P32_T20_W800
32,20,1000,1020,P32_T20_W1000
32,20,1200,1220,P32_T20_W1200
32,20,1500,1520,P32_T20_W1500
32,30,200,230,P32_T30_W200
32,30,300,330,P32_T30_W300
32,30,400,430,P32_T30_W400
32,30,500,530,P32_T30_W500
32,30,600,630,P32_T30_W600
32,30,800,830,P32_T30_W800
32,30,1000,1030,P32_T30_W1000
32,30,1200,1230,P32_T30_W1200
32,30,1500,1530,P32_T30_W1500
32,50,200,250,P32_T50_W200
32,50,300,350,P32_T50_W300
32,50,400,450,P32_T50_W400
32,50,500,550,P32_T50_W500
32,50,600,650,P32_T50_W600
32,50,800,850,P32_T50_W800
32,50,1000,1050,P32_T50_W1000
32,50,1200,1250,P32_T50_W1200
32,50,1500,1550,P32_T50_W1500
32,80,200,280,P32_T80_W200
32,80,300,380,P32_T80_W300
32,80,400,480,P32_T80_W400
32,80,500,580,P32_T80_W500
32,80,600,680,P32_T80_W600
32,80,800,880,P32_T80_W800
32,80,1000,1080,P32_T80_W1000
32,80,1200,1280,P32_T80_W1200
32,80,1500,1580,P32_T80_W1500
32,100,200,300,P32_T100_W200
32,100,300,400,P32_T100_W300
32,100,400,500,P32_T100_W400
32,100,500,600,P32_T100_W500
32,100,600,700,P32_T100_W600
32,100,800,900,P32_T100_W800
32,100,1000,1100,P32_T100_W1000
32,100,1200,1300,P32_T100_W1200
32,100,1500,1600,P32_T100_W1500
32,150,200,350,P32_T150_W200
32,150,300,450,P32_T150_W300
32,150,400,550,P32_T150_W400
32,150,500,650,P32_T150_W500
32,150,600,750,P32_T150_W600
32,150,800,950,P32_T150_W800
32,150,1000,1150,P32_T150_W1000
32,150,1200,1350,P32_T150_W1200
32,150,1500,1650,P32_T150_W1500
32,200,200,400,P32_T200_W200
32,200,300,500,P32_T200_W300
32,200,400,600,P32_T200_W400
32,200,500,700,P32_T200_W500
32,200,600,800,P32_T200_W600
32,200,800,1000,P32_T200_W800
32,200,1000,1200,P32_T200_W1000
32,200,1200,1400,P32_T200_W1200
32,200,1500,1700,P32_T200_W1500
32,280,200,480,P32_T280_W200
32,280,300,580,P32_T280_W300
32,280,400,680,P32_T280_W400
32,280,500,780,P32_T280_W500
32,280,600,880,P32_T280_W600
32,280,800,1080,P32_T280_W800
32,280,1000,1280,P32_T280_W1000
32,280,1200,1480,P32_T280_W1200
32,280,1500,1780,P32_T280_W1500
32,350,200,550,P32_T350_W200
32,350,300,650,P32_T350_W300
32,350,400,750,P32_T350_W400
32,350,500,850,P32_T350_W500
32,350,600,950,P32_T350_W600
32,350,800,1150,P32_T350_W800
32,350,1000,1350,P32_T350_W1000
32,350,1200,1550,P32_T350_W1200
32,350,1500,1850,P32_T350_W1500
32,420,200,620,P32_T420_W200
32,420,300,720,P32_T420_W300
32,420,400,820,P32_T420_W400
32,420,500,920,P32_T420_W500
32,420,600,1020,P32_T420_W600
32,420,800,1220,P32_T420_W800
32,420,1000,1420,P32_T420_W1000
32,420,1200,1620,P32_T420_W1200
32,420,1500,1920,P32_T420_W1500
32,500,200,700,P32_T500_W200
32,500,300,800,P32_T500_W300
32,500,400,900,P32_T500_W400
32,500,500,1000,P32_T500_W500
32,500,600,1100,P32_T500_W600
32,500,800,1300,P32_T500_W800
32,500,1000,1500,P32_T500_W1000
32,500,1200,1700,P32_T500_W1200
32,500,1500,2000,P32_T500_W1500
32,600,200,800,P32_T600_W200
32,600,300,900,P32_T600_W300
32,600,400,1000,P32_T600_W400
32,600,500,1100,P32_T600_W500
32,600,600,1200,P32_T600_W600
32,600,800,1400,P32_T600_W800
32,600,1000,1600,P32_T600_W1000
32,600,1200,1800,P32_T600_W1200
32,600,1500,2100,P32_T600_W1500
48,10,200,210,P48_T10_W200
48,10,300,310,P48_T10_W300
48,10,400,410,P48_T10_W400
48,10,500,510,P48_T10_W500
48,10,600,610,P48_T10_W600
48,10,800,810,P48_T10_W800
48,10,1000,1010,P48_T10_W1000
48,10,1200,1210,P48_T10_W1200
48,10,1500,1510,P48_T10_W1500
48,20,200,220,P48_T20_W200
48,20,300,320,P48_T20_W300
48,20,400,420,P48_T20_W400
48,20,500,520,P48_T20_W500
48,20,600,620,P48_T20_W600
48,20,800,820,P48_T20_W800
48,20,1000,1020,P48_T20_W1000
48,20,1200,1220,P48_T20_W1200
48,20,1500,1520,P48_T20_W1500
48,30,200,230,P48_T30_W200
48,30,300,330,P48_T30_W300
48,30,400,430,P48_T30_W400
48,30,500,530,P48_T30_W500
48,30,600,630,P48_T30_W600
48,30,800,830,P48_T30_W800
48,30,1000,1030,P48_T30_W1000
48,30,1200,1230,P48_T30_W1200
48,30,1500,1530,P48_T30_W1500
48,50,200,250,P48_T50_W200
48,50,300,350,P48_T50_W300
48,50,400,450,P48_T50_W400
48,50,500,550,P48_T50_W500
48,50,600,650,P48_T50_W600
48,50,800,850,P48_T50_W800
48,50,1000,1050,P48_T50_W1000
48,50,1200,1250,P48_T50_W1200
48,50,1500,1550,P48_T50_W1500
48,80,200,280,P48_T80_W200
48,80,300,380,P48_T80_W300
48,80,400,480,P48_T80_W400
48,80,500,580,P48_T80_W500
48,80,600,680,P48_T80_W600
48,80,800,880,P48_T80_W800
48,80,1000,1080,P48_T80_W1000
48,80,1200,1280,P48_T80_W1200
48,80,1500,1580,P48_T80_W1500
48,100,200,300,P48_T100_W200
48,100,300,400,P48_T100_W300
48,100,400,500,P48_T100_W400
48,100,500,600,P48_T100_W500
48,100,600,700,P48_T100_W600
48,100,800,900,P48_T100_W800
48,100,1000,1100,P48_T100_W1000
48,100,1200,1300,P48_T100_W1200
48,100,1500,1600,P48_T100_W1500
48,150,200,350,P48_T150_W200
48,150,300,450,P48_T150_W300
48,150,400,550,P48_T150_W400
48,150,500,650,P48_T150_W500
48,150,600,750,P48_T150_W600
48,150,800,950,P48_T150_W800
48,150,1000,1150,P48_T150_W1000
48,150,1200,1350,P48_T150_W1200
48,150,1500,1650,P48_T150_W1500
48,200,200,400,P48_T200_W200
48,200,300,500,P48_T200_W300
48,200,400,600,P48_T200_W400
48,200,500,700,P48_T200_W500
48,200,600,800,P48_T200_W600
48,200,800,1000,P48_T200_W800
48,200,1000,1200,P48_T200_W1000
48,200,1200,1400,P48_T200_W1200
48,200,1500,1700,P48_T200_W1500
48,280,200,480,P48_T280_W200
48,280,300,580,P48_T280_W300
48,280,400,680,P48_T280_W400
48,280,500,780,P48_T280_W500
48,280,600,880,P48_T280_W600
48,280,800,1080,P48_T280_W800
48,280,1000,1280,P48_T280_W1000
48,280,1200,1480,P48_T280_W1200
48,280,1500,1780,P48_T280_W1500
48,350,200,550,P48_T350_W200
48,350,300,650,P48_T350_W300
48,350,400,750,P48_T350_W400
48,350,500,850,P48_T350_W500
48,350,600,950,P48_T350_W600
48,350,800,1150,P48_T350_W800
48,350,1000,1350,P48_T350_W1000
48,350,1200,1550,P48_T350_W1200
48,350,1500,1850,P48_T350_W1500
48,420,200,620,P48_T420_W200
48,420,300,720,P48_T420_W300
48,420,400,820,P48_T420_W400
48,420,500,920,P48_T420_W500
48,420,600,1020,P48_T420_W600
48,420,800,1220,P48_T420_W800
48,420,1000,1420,P48_T420_W1000
48,420,1200,1620,P48_T420_W1200
48,420,1500,1920,P48_T420_W1500
48,500,200,700,P48_T500_W200
48,500,300,800,P48_T500_W300
48,500,400,900,P48_T500_W400
48,500,500,1000,P48_T500_W500
48,500,600,1100,P48_T500_W600
48,500,800,1300,P48_T500_W800
48,500,1000,1500,P48_T500_W1000
48,500,1200,1700,P48_T500_W1200
48,500,1500,2000,P48_T500_W1500
48,600,200,800,P48_T600_W200
48,600,300,900,P48_T600_W300
48,600,400,1000,P48_T600_W400
48,600,500,1100,P48_T600_W500
48,600,600,1200,P48_T600_W600
48,600,800,1400,P48_T600_W800
48,600,1000,1600,P48_T600_W1000
48,600,1200,1800,P48_T600_W1200
48,600,1500,2100,P48_T600_W1500
64,10,200,210,P64_T10_W200
64,10,300,310,P64_T10_W300
64,10,400,410,P64_T10_W400
64,10,500,510,P64_T10_W500
64,10,600,610,P64_T10_W600
64,10,800,810,P64_T10_W800
64,10,1000,1010,P64_T10_W1000
64,10,1200,1210,P64_T10_W1200
64,10,1500,1510,P64_T10_W1500
64,20,200,220,P64_T20_W200
64,20,300,320,P64_T20_W300
64,20,400,420,P64_T20_W400
64,20,500,520,P64_T20_W500
64,20,600,620,P64_T20_W600
64,20,800,820,P64_T20_W800
64,20,1000,1020,P64_T20_W1000
64,20,1200,1220,P64_T20_W1200
64,20,1500,1520,P64_T20_W1500
64,30,200,230,P64_T30_W200
64,30,300,330,P64_T30_W300
64,30,400,430,P64_T30_W400
64,30,500,530,P64_T30_W500
64,30,600,630,P64_T30_W600
64,30,800,830,P64_T30_W800
64,30,1000,1030,P64_T30_W1000
64,30,1200,1230,P64_T30_W1200
64,30,1500,1530,P64_T30_W1500
64,50,200,250,P64_T50_W200
64,50,300,350,P64_T50_W300
64,50,400,450,P64_T50_W400
64,50,500,550,P64_T50_W500
64,50,600,650,P64_T50_W600
64,50,800,850,P64_T50_W800
64,50,1000,1050,P64_T50_W1000
64,50,1200,1250,P64_T50_W1200
64,50,1500,1550,P64_T50_W1500
64,80,200,280,P64_T80_W200
64,80,300,380,P64_T80_W300
64,80,400,480,P64_T80_W400
64,80,500,580,P64_T80_W500
64,80,600,680,P64_T80_W600
64,80,800,880,P64_T80_W800
64,80,1000,1080,P64_T80_W1000
64,80,1200,1280,P64_T80_W1200
64,80,1500,1580,P64_T80_W1500
64,100,200,300,P64_T100_W200
64,100,300,400,P64_T100_W300
64,100,400,500,P64_T100_W400
64,100,500,600,P64_T100_W500
64,100,600,700,P64_T100_W600
64,100,800,900,P64_T100_W800
64,100,1000,1100,P64_T100_W1000
64,100,1200,1300,P64_T100_W1200
64,100,1500,1600,P64_T100_W1500
64,150,200,350,P64_T150_W200
64,150,300,450,P64_T150_W300
64,150,400,550,P64_T150_W400
64,150,500,650,P64_T150_W500
64,150,600,750,P64_T150_W600
64,150,800,950,P64_T150_W800
64,150,1000,1150,P64_T150_W1000
64,150,1200,1350,P64_T150_W1200
64,150,1500,1650,P64_T150_W1500
64,200,200,400,P64_T200_W200
64,200,300,500,P64_T200_W300
64,200,400,600,P64_T200_W400
64,200,500,700,P64_T200_W500
64,200,600,800,P64_T200_W600
64,200,800,1000,P64_T200_W800
64,200,1000,1200,P64_T200_W1000
64,200,1200,1400,P64_T200_W1200
64,200,1500,1700,P64_T200_W1500
64,280,200,480,P64_T280_W200
64,280,300,580,P64_T280_W300
64,280,400,680,P64_T280_W400
64,280,500,780,P64_T280_W500
64,280,600,880,P64_T280_W600
64,280,800,1080,P64_T280_W800
64,280,1000,1280,P64_T280_W1000
64,280,1200,1480,P64_T280_W1200
64,280,1500,1780,P64_T280_W1500
64,350,200,550,P64_T350_W200
64,350,300,650,P64_T350_W300
64,350,400,750,P64_T350_W400
64,350,500,850,P64_T350_W500
64,350,600,950,P64_T350_W600
64,350,800,1150,P64_T350_W800
64,350,1000,1350,P64_T350_W1000
64,350,1200,1550,P64_T350_W1200
64,350,1500,1850,P64_T350_W1500
64,420,200,620,P64_T420_W200
64,420,300,720,P64_T420_W300
64,420,400,820,P64_T420_W400
64,420,500,920,P64_T420_W500
64,420,600,1020,P64_T420_W600
64,420,800,1220,P64_T420_W800
64,420,1000,1420,P64_T420_W1000
64,420,1200,1620,P64_T420_W1200
64,420,1500,1920,P64_T420_W1500
64,500,200,700,P64_T500_W200
64,500,300,800,P64_T500_W300
64,500,400,900,P64_T500_W400
64,500,500,1000,P64_T500_W500
64,500,600,1100,P64_T500_W600
64,500,800,1300,P64_T500_W800
64,500,1000,1500,P64_T500_W1000
64,500,1200,1700,P64_T500_W1200
64,500,1500,2000,P64_T500_W1500
64,600,200,800,P64_T600_W200
64,600,300,900,P64_T600_W300
64,600,400,1000,P64_T600_W400
64,600,500,1100,P64_T600_W500
64,600,600,1200,P64_T600_W600
64,600,800,1400,P64_T600_W800
64,600,1000,1600,P64_T600_W1000
64,600,1200,1800,P64_T600_W1200
64,600,1500,2100,P64_T600_W1500
96,10,200,210,P96_T10_W200
96,10,300,310,P96_T10_W300
96,10,400,410,P96_T10_W400
96,10,500,510,P96_T10_W500
96,10,600,610,P96_T10_W600
96,10,800,810,P96_T10_W800
96,10,1000,1010,P96_T10_W1000
96,10,1200,1210,P96_T10_W1200
96,10,1500,1510,P96_T10_W1500
96,20,200,220,P96_T20_W200
96,20,300,320,P96_T20_W300
96,20,400,420,P96_T20_W400
96,20,500,520,P96_T20_W500
96,20,600,620,P96_T20_W600
96,20,800,820,P96_T20_W800
96,20,1000,1020,P96_T20_W1000
96,20,1200,1220,P96_T20_W1200
96,20,1500,1520,P96_T20_W1500
96,30,200,230,P96_T30_W200
96,30,300,330,P96_T30_W300
96,30,400,430,P96_T30_W400
96,30,500,530,P96_T30_W500
96,30,600,630,P96_T30_W600
96,30,800,830,P96_T30_W800
96,30,1000,1030,P96_T30_W1000
96,30,1200,1230,P96_T30_W1200
96,30,1500,1530,P96_T30_W1500
96,50,200,250,P96_T50_W200
96,50,300,350,P96_T50_W300
96,50,400,450,P96_T50_W400
96,50,500,550,P96_T50_W500
96,50,600,650,P96_T50_W600
96,50,800,850,P96_T50_W800
96,50,1000,1050,P96_T50_W1000
96,50,1200,1250,P96_T50_W1200
96,50,1500,1550,P96_T50_W1500
96,80,200,280,P96_T80_W200
96,80,300,380,P96_T80_W300
96,80,400,480,P96_T80_W400
96,80,500,580,P96_T80_W500
96,80,600,680,P96_T80_W600
96,80,800,880,P96_T80_W800
96,80,1000,1080,P96_T80_W1000
96,80,1200,1280,P96_T80_W1200
96,80,1500,1580,P96_T80_W1500
96,100,200,300,P96_T100_W200
96,100,300,400,P96_T100_W300
96,100,400,500,P96_T100_W400
96,100,500,600,P96_T100_W500
96,100,600,700,P96_T100_W600
96,100,800,900,P96_T100_W800
96,100,1000,1100,P96_T100_W1000
96,100,1200,1300,P96_T100_W1200
96,100,1500,1600,P96_T100_W1500
96,150,200,350,P96_T150_W200
96,150,300,450,P96_T150_W300
96,150,400,550,P96_T150_W400
96,150,500,650,P96_T150_W500
96,150,600,750,P96_T150_W600
96,150,800,950,P96_T150_W800
96,150,1000,1150,P96_T150_W1000
96,150,1200,1350,P96_T150_W1200
96,150,1500,1650,P96_T150_W1500
96,200,200,400,P96_T200_W200
96,200,300,500,P96_T200_W300
96,200,400,600,P96_T200_W400
96,200,500,700,P96_T200_W500
96,200,600,800,P96_T200_W600
96,200,800,1000,P96_T200_W800
96,200,1000,1200,P96_T200_W1000
96,200,1200,1400,P96_T200_W1200
96,200,1500,1700,P96_T200_W1500
96,280,200,480,P96_T280_W200
96,280,300,580,P96_T280_W300
96,280,400,680,P96_T280_W400
96,280,500,780,P96_T280_W500
96,280,600,880,P96_T280_W600
96,280,800,1080,P96_T280_W800
96,280,1000,1280,P96_T280_W1000
96,280,1200,1480,P96_T280_W1200
96,280,1500,1780,P96_T280_W1500
96,350,200,550,P96_T350_W200
96,350,300,650,P96_T350_W300
96,350,400,750,P96_T350_W400
96,350,500,850,P96_T350_W500
96,350,600,950,P96_T350_W600
96,350,800,1150,P96_T350_W800
96,350,1000,1350,P96_T350_W1000
96,350,1200,1550,P96_T350_W1200
96,350,1500,1850,P96_T350_W1500
96,420,200,620,P96_T420_W200
96,420,300,720,P96_T420_W300
96,420,400,820,P96_T420_W400
96,420,500,920,P96_T420_W500
96,420,600,1020,P96_T420_W600
96,420,800,1220,P96_T420_W800
96,420,1000,1420,P96_T420_W1000
96,420,1200,1620,P96_T420_W1200
96,420,1500,1920,P96_T420_W1500
96,500,200,700,P96_T500_W200
96,500,300,800,P96_T500_W300
96,500,400,900,P96_T500_W400
96,500,500,1000,P96_T500_W500
96,500,600,1100,P96_T500_W600
96,500,800,1300,P96_T500_W800
96,500,1000,1500,P96_T500_W1000
96,500,1200,1700,P96_T500_W1200
96,500,1500,2000,P96_T500_W1500
96,600,200,800,P96_T600_W200
96,600,300,900,P96_T600_W300
96,600,400,1000,P96_T600_W400
96,600,500,1100,P96_T600_W500
96,600,600,1200,P96_T600_W600
96,600,800,1400,P96_T600_W800
96,600,1000,1600,P96_T600_W1000
96,600,1200,1800,P96_T600_W1200
96,600,1500,2100,P96_T600_W1500
120,10,200,210,P120_T10_W200
120,10,300,310,P120_T10_W300
120,10,400,410,P120_T10_W400
120,10,500,510,P120_T10_W500
120,10,600,610,P120_T10_W600
120,10,800,810,P120_T10_W800
120,10,1000,1010,P120_T10_W1000
120,10,1200,1210,P120_T10_W1200
120,10,1500,1510,P120_T10_W1500
120,20,200,220,P120_T20_W200
120,20,300,320,P120_T20_W300
120,20,400,420,P120_T20_W400
120,20,500,520,P120_T20_W500
120,20,600,620,P120_T20_W600
120,20,800,820,P120_T20_W800
120,20,1000,1020,P120_T20_W1000
120,20,1200,1220,P120_T20_W1200
120,20,1500,1520,P120_T20_W1500
120,30,200,230,P120_T30_W200
120,30,300,330,P120_T30_W300
120,30,400,430,P120_T30_W400
120,30,500,530,P120_T30_W500
120,30,600,630,P120_T30_W600
120,30,800,830,P120_T30_W800
120,30,1000,1030,P120_T30_W1000
120,30,1200,1230,P120_T30_W1200
120,30,1500,1530,P120_T30_W1500
120,50,200,250,P120_T50_W200
120,50,300,350,P120_T50_W300
120,50,400,450,P120_T50_W400
120,50,500,550,P120_T50_W500
120,50,600,650,P120_T50_W600
120,50,800,850,P120_T50_W800
120,50,1000,1050,P120_T50_W1000
120,50,1200,1250,P120_T50_W1200
120,50,1500,1550,P120_T50_W1500
120,80,200,280,P120_T80_W200
120,80,300,380,P120_T80_W300
120,80,400,480,P120_T80_W400
120,80,500,580,P120_T80_W500
120,80,600,680,P120_T80_W600
120,80,800,880,P120_T80_W800
120,80,1000,1080,P120_T80_W1000
120,80,1200,1280,P120_T80_W1200
120,80,1500,1580,P120_T80_W1500
120,100,200,300,P120_T100_W200
120,100,300,400,P120_T100_W300
120,100,400,500,P120_T100_W400
120,100,500,600,P120_T100_W500
120,100,600,700,P120_T100_W600
120,100,800,900,P120_T100_W800
120,100,1000,1100,P120_T100_W1000
120,100,1200,1300,P120_T100_W1200
120,100,1500,1600,P120_T100_W1500
120,150,200,350,P120_T150_W200
120,150,300,450,P120_T150_W300
120,150,400,550,P120_T150_W400
120,150,500,650,P120_T150_W500
120,150,600,750,P120_T150_W600
120,150,800,950,P120_T150_W800
120,150,1000,1150,P120_T150_W1000
120,150,1200,1350,P120_T150_W1200
120,150,1500,1650,P120_T150_W1500
120,200,200,400,P120_T200_W200
120,200,300,500,P120_T200_W300
120,200,400,600,P120_T200_W400
120,200,500,700,P120_T200_W500
120,200,600,800,P120_T200_W600
120,200,800,1000,P120_T200_W800
120,200,1000,1200,P120_T200_W1000
120,200,1200,1400,P120_T200_W1200
120,200,1500,1700,P120_T200_W1500
120,280,200,480,P120_T280_W200
120,280,300,580,P120_T280_W300
120,280,400,680,P120_T280_W400
120,280,500,780,P120_T280_W500
120,280,600,880,P120_T280_W600
120,280,800,1080,P120_T280_W800
120,280,1000,1280,P120_T280_W1000
120,280,1200,1480,P120_T280_W1200
120,280,1500,1780,P120_T280_W1500
120,350,200,550,P120_T350_W200
120,350,300,650,P120_T350_W300
120,350,400,750,P120_T350_W400
120,350,500,850,P120_T350_W500
120,350,600,950,P120_T350_W600
120,350,800,1150,P120_T350_W800
120,350,1000,1350,P120_T350_W1000
120,350,1200,1550,P120_T350_W1200
120,350,1500,1850,P120_T350_W1500
120,420,200,620,P120_T420_W200
120,420,300,720,P120_T420_W300
120,420,400,820,P120_T420_W400
120,420,500,920,P120_T420_W500
120,420,600,1020,P120_T420_W600
120,420,800,1220,P120_T420_W800
120,420,1000,1420,P120_T420_W1000
120,420,1200,1620,P120_T420_W1200
120,420,1500,1920,P120_T420_W1500
120,500,200,700,P120_T500_W200
120,500,300,800,P120_T500_W300
120,500,400,900,P120_T500_W400
120,500,500,1000,P120_T500_W500
120,500,600,1100,P120_T500_W600
120,500,800,1300,P120_T500_W800
120,500,1000,1500,P120_T500_W1000
120,500,1200,1700,P120_T500_W1200
120,500,1500,2000,P120_T500_W1500
120,600,200,800,P120_T600_W200
120,600,300,900,P120_T600_W300
120,600,400,1000,P120_T600_W400
120,600,500,1100,P120_T600_W500
120,600,600,1200,P120_T600_W600
120,600,800,1400,P120_T600_W800
120,600,1000,1600,P120_T600_W1000
120,600,1200,1800,P120_T600_W1200
120,600,1500,2100,P120_T600_W1500
150,10,200,210,P150_T10_W200
150,10,300,310,P150_T10_W300
150,10,400,410,P150_T10_W400
150,10,500,510,P150_T10_W500
150,10,600,610,P150_T10_W600
150,10,800,810,P150_T10_W800
150,10,1000,1010,P150_T10_W1000
150,10,1200,1210,P150_T10_W1200
150,10,1500,1510,P150_T10_W1500
150,20,200,220,P150_T20_W200
150,20,300,320,P150_T20_W300
150,20,400,420,P150_T20_W400
150,20,500,520,P150_T20_W500
150,20,600,620,P150_T20_W600
150,20,800,820,P150_T20_W800
150,20,1000,1020,P150_T20_W1000
150,20,1200,1220,P150_T20_W1200
150,20,1500,1520,P150_T20_W1500
150,30,200,230,P150_T30_W200
150,30,300,330,P150_T30_W300
150,30,400,430,P150_T30_W400
150,30,500,530,P150_T30_W500
