label,param,spearman_real_vs_gen_est,spearman_real_vs_gen_latent,better_match
self,v,0.49999999999999994,0.49999999999999994,生成模型潜在参数更接近真实 Matching 趋势
self,a,0.7999999999999999,0.8999999999999998,生成模型潜在参数更接近真实 Matching 趋势
self,t,-0.09999999999999999,,生成行为估计值更接近真实 Matching 趋势
self,z,0.7999999999999999,0.8999999999999998,生成模型潜在参数更接近真实 Matching 趋势
stranger,v,0.7,0.8999999999999998,生成模型潜在参数更接近真实 Matching 趋势
stranger,a,0.7,0.8999999999999998,生成模型潜在参数更接近真实 Matching 趋势
stranger,t,0.49999999999999994,,生成行为估计值更接近真实 Matching 趋势
stranger,z,0.7,0.8999999999999998,生成模型潜在参数更接近真实 Matching 趋势
