groupID,n_subjects,P,T_ms,W_ms,M_ms,quality,accuracy_mean,accuracy_sd,omission_mean,spe_acc_mean,spe_acc_sd,spe_rt_ms_mean,spe_rt_ms_sd,spe_match_key_mean
1,11,0,30.0,300.0,330.0,exclude,0.5032137255169865,0.03859544105534558,0.7159090909090909,-0.027794776345004126,0.07906933522503903,-2.985374981129894,8.279220755362479,0.009326048791668096
2,12,0,30.0,600.0,630.0,exclude,0.5515201264072275,0.1277422594961003,0.5403846153846154,0.12890038984243268,0.16807319185062347,9.099071453582914,32.60059431180181,0.12802665147409256
3,10,120,30.0,600.0,630.0,caution,0.5124751656939827,0.04626925715542517,0.3803846153846154,0.09042290887065182,0.12887897527084508,-18.743787365823938,26.779429429255895,0.08927606648549856
4,11,120,80.0,600.0,680.0,good,0.701323116592658,0.11849967228677628,0.39195804195804196,0.13641541051371622,0.09973894230556024,-0.07407646278127024,26.020983199637932,0.1349301851669338
5,11,8,100.0,1100.0,1200.0,good,0.770759094458807,0.09687341443747814,0.11031468531468533,0.09975253816550604,0.05874656350244749,46.81151057965234,26.879788063032482,0.08753755562038493
6,10,120,500.0,1500.0,2000.0,good,0.9390233567755955,0.03142323553521186,0.052500000000000005,0.021649427660068978,0.037907668984370445,68.53423049717634,90.30855452242812,0.033258824319469346
7,12,120,30.0,800.0,830.0,good,0.7561885891899719,0.1481589204290375,0.15208333333333332,0.06511029511918968,0.07795348652605133,19.00524316944049,19.71640531935994,0.08301987437369283
8,11,120,80.0,800.0,880.0,good,0.7785832948314713,0.13238606714761014,0.15489510489510488,0.05733347896286609,0.07672092015831025,20.571077284382635,19.880796289691055,0.0808686796300048
