condition,bin,n,rt_mean_ms,p_matching,se,ci_lo,ci_hi
neutral,1,900,358.397451885378,0.5122222222222222,0.016661686498736176,0.47956531668469937,0.5448791277597451
neutral,2,900,450.4638596083091,0.5088888888888888,0.01666403271367945,0.4762273847700771,0.5415503930077006
neutral,3,900,540.3317822129023,0.52,0.01665332799572906,0.4873594771283711,0.552640522871629
neutral,4,900,682.9487307016805,0.51,0.016663332999933316,0.47733986732013073,0.5426601326798693
neutral,5,900,1089.301814417051,0.4688888888888889,0.016634372003823627,0.4362855197613946,0.5014922580163832
z_bias_large,1,900,332.6917060546114,0.8822222222222222,0.010744826808981468,0.8611623616766185,0.903282082767826
z_bias_large,2,900,420.48754067171654,0.73,0.014798648586948742,0.7009946487695804,0.7590053512304196
z_bias_large,3,900,512.1065716687558,0.5766666666666667,0.01646957539161975,0.544386298899092,0.6089470344342414
z_bias_large,4,900,654.5886515498867,0.48333333333333334,0.016657404833961054,0.4506848198587697,0.515981846807897
z_bias_large,5,900,1063.5913911021523,0.4211111111111111,0.016457910735836176,0.3888536060688722,0.45336861615335
z_bias_medium,1,900,346.0118633885673,0.79,0.013576941236277534,0.7633891951768961,0.816610804823104
z_bias_medium,2,900,436.81959909396204,0.64,0.016,0.6086400000000001,0.67136
z_bias_medium,3,900,527.260523707859,0.5477777777777778,0.016590401641063336,0.5152605905612937,0.5802949649942619
z_bias_medium,4,900,670.1151159368453,0.48444444444444446,0.01665859887036515,0.45179359065852875,0.5170952982303602
z_bias_medium,5,900,1078.7643144756619,0.4388888888888889,0.016541712664881986,0.40646713206572016,0.4713106457120576
z_bias_small,1,900,354.78362585320633,0.6788888888888889,0.01556344597061042,0.6483845347864925,0.7093932429912853
z_bias_small,2,900,446.4773619364578,0.5655555555555556,0.01652279466325915,0.5331708780155676,0.5979402330955436
z_bias_small,3,900,536.5530738201808,0.5322222222222223,0.016632021604759288,0.49962345987689405,0.5648209845675505
z_bias_small,4,900,679.455694363708,0.49444444444444446,0.016665637828327053,0.4617797943009234,0.5271090945879655
z_bias_small,5,900,1087.2438828516954,0.45666666666666667,0.016603956095602376,0.42412291271928604,0.4892104206140473
