group_id,parameter,censor_mean,censor_q025,censor_q975,drop_mean,drop_q025,drop_q975,delta,abs_delta,ci_overlap,cohens_d
1.0,v_self,-4.860933662386909,-5.716453175237797,-3.9468276741777295,1.9482405894060384,0.8286059280575971,3.1676660469744764,6.809174251792948,6.809174251792948,False,9.254592514713842
1.0,v_stranger,-4.865674208525312,-5.689100369544829,-3.991103280333237,1.9366119150002017,0.7791965224449355,3.134463875218721,6.802286123525514,6.802286123525514,False,9.280551881382051
1.0,SPE_v,0.004740546138402912,-1.2067237935656867,1.2162048858424925,0.011628674405836703,-1.6241640464312928,1.6474213952429662,0.006888128267433791,0.006888128267433791,True,0.00663247359038518
1.0,a,0.8597694557808452,0.7671875639114869,0.9674488810459188,0.410111519397299,0.2924814351967638,0.6404678568750293,-0.4496579363835462,0.4496579363835462,False,-4.324011047332803
1.0,t,0.2133146508376503,0.2092522550001495,0.2175907250154528,0.2256108306650179,0.2229649830214376,0.2278678117836323,0.012296179827367582,0.012296179827367582,False,4.993796860176758
1.0,z,0.7521913680153217,0.7282402548538628,0.7754268997260135,0.5163637727074685,0.4892857616660778,0.5438632053845066,-0.23582759530785324,0.23582759530785324,False,-12.835813292465513
2.0,v_self,-1.2344814559851465,-1.957328882638894,-0.5053637889741576,1.6552446133056895,0.8791623161448466,2.4964306668680334,2.8897260692908358,2.8897260692908358,False,5.2594143382412515
2.0,v_stranger,-1.940955584018272,-2.6600763509353764,-1.223010402877054,-0.0509226564295931,-0.8531249701988457,0.7475388028110961,1.890032927588679,1.890032927588679,False,3.4943771835309634
2.0,SPE_v,0.7064741280331255,-0.29495760014643624,1.7079058562126872,1.7061672697352825,0.5744845802542013,2.8378499592163635,0.9996931417021571,0.9996931417021571,True,1.2966283231590443
2.0,a,1.5016567112717851,1.2281336075471287,1.852342434869764,0.9138806579158156,0.6965429250673321,1.234857008842451,-0.5877760533559695,0.5877760533559695,True,-2.8848008520159056
2.0,t,0.2088242384820337,0.1756301676963944,0.2555890312466757,0.2896668147889283,0.2305828448923436,0.3693185372381919,0.08084257630689459,0.08084257630689459,True,1.9966505389105458
2.0,z,0.6806939337515878,0.6490415399170776,0.711530697017824,0.5116777773506739,0.4877976972775416,0.5329188029185713,-0.16901615640091394,0.16901615640091394,False,-8.72066806952795
3.0,v_self,-0.7914387748965681,-1.269458648542799,-0.3169127978086032,0.7844382429393432,0.3421296194780315,1.205509345140807,1.5758770178359112,1.5758770178359112,False,4.852182889783153
3.0,v_stranger,-1.1785498285505158,-1.6369939320695557,-0.6990510059497068,-0.0213764862705788,-0.4826898979520456,0.4484252178002599,1.157173342279937,1.157173342279937,False,3.49359295120531
3.0,SPE_v,0.3871110536539477,-0.27598818500362954,1.050210292311525,0.8058147292099219,0.1837381009963076,1.4278913574235363,0.4187036755559742,0.4187036755559742,True,0.9025975435314901
3.0,a,1.193245161968327,0.9480499504399074,1.562642888061545,1.0119221531081242,0.6566172770799898,1.599407446998399,-0.18132300886020292,0.18132300886020292,True,-0.6517181980346968
3.0,t,0.1956662343802376,0.1843436307524655,0.2075787405596728,0.2068105895435869,0.1906984314405594,0.2265497308524683,0.011144355163349273,0.011144355163349273,True,1.030544498100061
3.0,z,0.5939776154862384,0.5640280761454071,0.6243039101820843,0.4800125967160965,0.4580101696067037,0.5017754911890897,-0.11396501877014192,0.11396501877014192,False,-6.081468816668083
