,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq
Intercept,9732.119544580213,1.0,3.656358681143826,0.05939096798559503,0.041552170787986044,0.04319059711646014
P_z,611.5056492975715,1.0,0.229742758413076,0.6330062072633695,0.0026108790650420438,0.002828308334009604
T_z,339.0853453061897,1.0,0.12739441190376552,0.7220772251243,0.0014477557653628024,0.0015703007945374492
P_z:T_z,441.59485678793214,1.0,0.16590724977933527,0.6848495317461674,0.0018854294611051114,0.0020440509494802244
W_z,7071.507478049178,1.0,2.6567663536909283,0.10699307720040631,0.030192445243858158,0.031757937456707734
P_z:W_z,42.821013932254615,1.0,0.01608786095458236,0.8993830085543075,0.0001828282190819022,0.00019857612703039253
T_z:W_z,322.84859532037046,1.0,0.12129426265135795,0.7285385162240732,0.0013784314824702528,0.001495220999046639
P_z:T_z:W_z,55.51421715177271,1.0,0.020856699188701033,0.8855287459574804,0.00023702300631278392,0.0002574238293497319
Residual,215597.47055898557,81.0,,,0.9205130369687808,
