model,formula,df_model,df_resid,r_sq,adj_r_sq,aic,bic,condition_number
null,SPE_ACC ~ 1,0.0,87.0,-2.220446049250313e-16,-2.220446049250313e-16,-90.67618835109653,-88.19885153661832,1.0
main_effects,SPE_ACC ~ P_z + T_z + W_z,3.0,84.0,0.03658840926017115,0.0021808524480343427,-87.95634908383624,-78.04700182592342,3.4592765134446792
two_way,SPE_ACC ~ (P_z + T_z + W_z) ** 2,6.0,81.0,0.0887165427089337,0.02121406439107687,-86.85150103625625,-69.5101433349088,31.796070156093766
three_way,SPE_ACC ~ P_z * T_z * W_z,6.0,81.0,0.08871654270893392,0.021214064391077092,-86.85150103625625,-69.5101433349088,1.9404711645060376e+16
