model,formula,df_model,df_resid,r_sq,adj_r_sq,aic,bic,condition_number
null,SPE_RT_ms ~ 1,0.0,87.0,0.0,0.0,957.5652365403698,960.0425733548481,1.0
main_effects,SPE_RT_ms ~ P_z + T_z + W_z,3.0,84.0,0.19202927817325466,0.16317318096515654,944.801044370086,954.7103916279988,3.4592765134446792
two_way,SPE_RT_ms ~ (P_z + T_z + W_z) ** 2,6.0,81.0,0.19505975328258363,0.13543454982203418,950.4703601244743,967.8117178258217,31.796070156093766
three_way,SPE_RT_ms ~ P_z * T_z * W_z,6.0,81.0,0.19505975328258363,0.13543454982203418,950.4703601244743,967.8117178258217,1.9404711645060376e+16
