term,coef,se,t,p,ci_low,ci_high
Intercept,-20.686844108779177,10.818569651036002,-1.912160736220631,0.05939096798559455,-42.212404182811426,0.8387159652530691
P_z,4.703656306444387,9.813290718635011,0.47931488440593617,0.6330062072633792,-14.821714024530252,24.229026637419025
T_z,-11.454250356034935,32.091608257541914,-0.3569235378953951,0.7220772251243033,-75.30648440380268,52.39798369173281
P_z:T_z,-13.261985742460297,32.5593611226623,-0.40731713661388624,0.6848495317461711,-78.04490126871586,51.52092978379527
W_z,-24.364639663616217,14.948007654515216,-1.6299590036841198,0.10699307720040534,-54.106486056734234,5.3772067295018005
P_z:W_z,-1.6236542933935034,12.801015199336804,-0.1268379318444698,0.8993830085543222,-27.093659161877877,23.84635057509087
T_z:W_z,8.25308287075948,23.697147762905296,0.3482732585935331,0.7285385162240758,-38.89680793803052,55.402973679549476
P_z:T_z:W_z,3.821450361090413,26.460950108768348,0.14441848631217902,0.8855287459574697,-48.827540176001406,56.47044089818223
