model,rmse,r2,version
GP,0.0002837194576849675,0.9999999999972322,v1
Sigmoid,375.59885751591423,-3.850728411006865,v1
GP,55.851405246054064,0.6426075579035437,v2.4.x
Sigmoid,61.39756119624039,0.568103786904355,v2.4.x
GP,70.00658871930094,0.9048643294305395,v2.5
Sigmoid,97.58296554393279,0.815152502116071,v2.5
GP,0.00019459213812438812,0.9999999930120381,real
Sigmoid,15.205149133763456,-41.66593936670168,real
